"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Tot Deaths/
1M pop",Closed Case,"Death Rate
(%)"
Angola,4,,,,,4,,0.1,,0,
Congo,4,,,,,4,,0.7,,0,
Vatican City,4,,,,,4,,"4,994",,0,
Gambia,3,,1,,,2,,1,0.4,1,100.0
Sudan,3,,1,,,2,,0.07,0.02,1,100.0
Bhutan,3,+1,,,,3,,4,,0,
CAR,3,,,,,3,,0.6,,0,
Chad,3,,,,,3,,0.2,,0,
Liberia,3,,,,,3,,0.6,,0,
Mauritania,3,,,,,3,,0.6,,0,
Saint Lucia,3,,,,1,2,,16,,1,
Sint Maarten,3,,,,,3,,70,,0,
Somalia,3,+1,,,,3,,0.2,,0,
MS Zaandam,2,+2,,,,2,,,,0,
Anguilla,2,,,,,2,,133,,0,
Belize,2,,,,,2,,5,,0,
British Virgin Islands,2,,,,,2,,66,,0,
Guinea-Bissau,2,,,,,2,,1,,0,
Saint Kitts and Nevis,2,,,,,2,,38,,0,
Turks and Caicos,2,,,,,2,,52,,0,
Libya,1,,,,,1,,0.1,,0,
Papua New Guinea,1,,,,,1,,0.1,,0,
St. Vincent Grenadines,1,,,,,1,,9,,0,
Timor-Leste,1,,,,,1,,0.8,,0,
Total:,"596,312","64,502","27,341","3,273","132,676","436,295","23,670",76.5,3.5,160017,17.09
