"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
Austria,"14,041",+96,368,+18,"7,343","6,330",239,"1,559",41,"148,412","16,479",,7711.0,4.77
Israel,"11,586",+441,116,+13,"1,855","9,615",181,"1,339",13,"117,339","13,557",,1971.0,5.89
Sweden,"10,948",+465,919,+20,381,"9,648",859,"1,084",91,"54,700","5,416",,1300.0,70.69
Ireland,"10,647",+992,365,+31,25,"10,257",194,"2,156",74,"72,000","14,581",,390.0,93.59
S. Korea,"10,537",+25,217,+3,"7,447","2,873",55,206,4,"514,621","10,038",,7664.0,2.83
India,"10,453","+1,248",358,+27,"1,181","8,914",,8,0.3,"189,111",137,,1539.0,23.26
Peru,"9,784","+2,265",216,+23,"2,642","6,926",143,297,7,"87,116","2,642",,2858.0,7.56
,,,,,,,,,,,,,,
Japan,"7,618",+248,143,+20,799,"6,676",135,60,1,"77,381",612,,942.0,15.18
Ecuador,"7,529",+63,355,+22,597,"6,577",121,427,20,"24,553","1,392",,952.0,37.29
Chile,"7,525",+312,82,+2,"2,367","5,076",387,394,4,"85,035","4,448",,2449.0,3.35
Poland,"6,934",+260,245,+13,487,"6,202",160,183,6,"143,630","3,795",,732.0,33.47
Romania,"6,633",+333,331,+15,914,"5,388",231,345,17,"67,204","3,493",,1245.0,26.59
Norway,"6,603",+78,134,+6,32,"6,437",59,"1,218",25,"127,305","23,483",,166.0,80.72
Australia,"6,359",+46,61,+2,"3,494","2,804",79,249,2,"362,136","14,201",,3555.0,1.72
Denmark,"6,318",+144,285,+12,"2,235","3,798",100,"1,091",49,"72,099","12,448",,2520.0,11.31
Czechia,"6,059",+68,143,+5,519,"5,397",100,566,13,"128,359","11,986",,662.0,21.6
Pakistan,"5,496",+266,93,+2,"1,095","4,308",44,25,0.4,"65,114",295,,1188.0,7.83
Saudi Arabia,"4,934",+472,65,+6,805,"4,064",59,142,2,"115,585","3,320",,870.0,7.47
Philippines,"4,932",+284,315,+18,242,"4,375",1,45,3,"33,814",309,,557.0,56.55
Malaysia,"4,817",+134,77,+1,"2,276","2,464",66,149,2,"81,730","2,525",,2353.0,3.27
Mexico,"4,661",+442,296,+23,"1,843","2,522",185,36,2,"36,594",284,,2139.0,13.84
Indonesia,"4,557",+316,399,+26,380,"3,778",,17,1,"27,075",99,,779.0,51.22
UAE,"4,521",+398,25,+3,852,"3,644",1,457,3,"648,195","65,538",,877.0,2.85
Serbia,"4,054",+424,85,+5,400,"3,569",138,464,10,"20,958","2,399",,485.0,17.53
Panama,"3,472",+72,94,+7,61,"3,317",106,805,22,"15,567","3,608",,155.0,60.65
Luxembourg,"3,292",+11,69,+3,500,"2,723",30,"5,259",110,"29,315","46,831",,569.0,12.13
Qatar,"3,231",+252,7,,334,"2,890",37,"1,121",2,"50,828","17,642",,341.0,2.05
Dominican Republic,"3,167",+200,177,+4,152,"2,838",147,292,16,"9,275",855,,329.0,53.8
Ukraine,"3,102",+325,93,+10,97,"2,912",45,71,2,"32,496",743,,190.0,48.95
Finland,"3,064",+90,59,+3,300,"2,705",74,553,11,"46,000","8,302",,359.0,16.43
Belarus,"2,919",+341,29,+3,203,"2,687",55,309,3,"68,000","7,196",,232.0,12.5
Singapore,"2,918",+386,9,+1,586,"2,323",29,499,2,"72,680","12,423",,595.0,1.51
Colombia,"2,852",+76,112,+3,319,"2,421",92,56,2,"41,765",821,,431.0,25.99
Thailand,"2,579",+28,40,+2,"1,288","1,251",61,37,0.6,"71,860","1,030",,1328.0,3.01
Argentina,"2,277",+135,98,+8,515,"1,664",83,50,2,"19,758",437,,613.0,15.99
South Africa,"2,272",+99,27,+2,410,"1,835",7,38,0.5,"83,663","1,411",,437.0,6.18
Egypt,"2,190",+125,164,+5,589,"1,437",,21,2,"25,000",244,,753.0,21.78
Greece,"2,145",+31,99,+1,269,"1,777",73,206,9,"43,417","4,165",,368.0,26.9
Algeria,"1,983",+69,313,+20,601,"1,069",60,45,7,"3,359",77,,914.0,34.25
Morocco,"1,763",+102,126,+8,203,"1,434",1,48,3,"8,952",243,,329.0,38.3
Moldova,"1,712",+50,35,+4,107,"1,570",80,424,9,"6,271","1,555",,142.0,24.65
Iceland,"1,711",+10,8,,933,770,10,"5,014",23,"35,253","103,308",,941.0,0.85
Croatia,"1,650",+50,25,+2,400,"1,225",34,402,6,"17,790","4,333",,425.0,5.88
Hungary,"1,458",+48,109,+10,120,"1,229",58,151,11,"34,819","3,604",,229.0,47.6
Iraq,"1,378",+26,78,+2,717,583,,34,2,"37,791",940,,795.0,9.81
Bahrain,"1,361",+225,6,,591,764,4,800,4,"67,327","39,567",,597.0,1.01
New Zealand,"1,349",+19,5,+1,546,798,4,280,1,"62,827","13,029",,551.0,0.91
Estonia,"1,332",+23,28,+3,102,"1,202",9,"1,004",21,"30,764","23,191",,130.0,21.54
Kuwait,"1,300",+66,2,+1,150,"1,148",26,304,0.5,,,,152.0,1.32
Slovenia,"1,212",+7,55,+2,152,"1,005",34,583,26,"35,405","17,030",,207.0,26.57
Azerbaijan,"1,148",+50,12,+1,289,847,25,113,1,"66,677","6,576",,301.0,3.99
Kazakhstan,"1,091",+140,12,+2,138,941,21,58,0.6,"69,304","3,691",,150.0,8.0
Lithuania,"1,062",+9,24,+1,101,937,14,390,9,"41,503","15,246",,125.0,19.2
Armenia,"1,039",+26,14,+1,211,814,30,351,5,"7,631","2,575",,225.0,6.22
Bosnia and Herzegovina,"1,037",+28,39,,206,792,4,316,12,"11,612","3,539",,245.0,15.92
Hong Kong,"1,010",+5,4,,397,609,13,135,0.5,"96,709","12,900",,401.0,1.0
Uzbekistan,998,+133,4,,85,909,8,30,0.1,"70,000","2,091",,89.0,4.49
North Macedonia,854,+26,38,+4,44,772,15,410,18,"8,552","4,105",,82.0,46.34
Cameroon,848,+28,12,,98,738,,32,0.5,,,,110.0,10.91
Bangladesh,803,+182,39,+5,42,722,1,5,0.2,"11,223",68,,81.0,48.15
Slovakia,769,+27,2,,107,660,5,141,0.4,"28,750","5,266",,109.0,1.83
Oman,727,+128,4,,124,599,3,142,0.8,,,,128.0,3.12
Tunisia,726,+19,34,+3,43,649,89,61,3,"11,825","1,001",,77.0,44.16
Cuba,726,+57,21,+3,121,584,11,64,2,"17,133","1,513",,142.0,14.79
,,,,,,,,,,,,,,
Diamond Princess,712,,12,,639,61,7,,,,,,651.0,1.84
Bulgaria,685,+10,32,+3,71,582,36,99,5,"18,502","2,663",,103.0,31.07
Afghanistan,665,+58,21,+3,32,612,,17,0.5,,,,53.0,39.62
Cyprus,662,+29,12,+1,65,585,8,548,10,"17,923","14,845",,77.0,15.58
Latvia,655,+4,5,,16,634,2,347,3,"28,776","15,256",,21.0,23.81
Andorra,646,+8,29,,128,489,17,"8,361",375,"1,673","21,653",,157.0,18.47
Lebanon,632,+2,20,,80,532,34,93,3,"15,408","2,257",,100.0,20.0
Ivory Coast,626,+52,6,+1,89,531,,24,0.2,,,,95.0,6.32
Costa Rica,612,+17,3,,62,547,14,120,0.6,"6,868","1,348",,65.0,4.62
Ghana,566,,8,,4,554,2,18,0.3,"37,954","1,221",,12.0,66.67
Niger,548,+19,13,+1,86,449,,23,0.5,"4,399",182,,99.0,13.13
Burkina Faso,515,+18,27,,161,327,,25,1,,,,188.0,14.36
Uruguay,483,,8,+1,248,227,15,139,2,"9,236","2,659",,256.0,3.12
Albania,467,+21,23,,232,212,7,162,8,"4,070","1,414",,255.0,9.02
Channel Islands,436,+5,9,,48,379,,"2,508",52,"3,320","19,095",,57.0,15.79
Kyrgyzstan,419,+42,5,,67,347,5,64,0.8,"9,618","1,474",,72.0,6.94
Honduras,397,+4,25,,7,365,10,40,3,"1,600",162,,32.0,78.12
Taiwan,393,+5,6,,114,273,,17,0.3,"47,215","1,982",,120.0,5.0
Jordan,391,+2,7,,215,169,5,38,0.7,"20,500","2,009",,222.0,3.15
Réunion,391,+2,,,40,351,3,437,,,,,40.0,
Malta,384,+6,3,,44,337,4,870,7,"18,065","40,913",,47.0,6.38
San Marino,371,+15,36,+1,53,282,15,"10,934","1,061",846,"24,933",,89.0,40.45
Nigeria,343,+20,10,,91,242,2,2,0.05,"5,000",24,,101.0,9.9
Bolivia,330,+30,27,+3,2,301,3,28,2,"2,185",187,,29.0,93.1
Mauritius,324,,9,,42,273,3,255,7,"7,077","5,565",,51.0,17.65
Guinea,319,+69,,,17,302,,24,,,,,17.0,
Palestine,308,+18,2,,58,248,,60,0.4,"17,329","3,397",,60.0,3.33
Djibouti,298,+84,2,,41,255,,302,2,"4,949","5,009",,43.0,4.65
Senegal,291,+11,2,,178,111,1,17,0.1,,,,180.0,1.11
Montenegro,274,+2,3,,5,266,7,436,5,"2,869","4,568",,8.0,37.5
Georgia,272,+15,3,,68,201,6,68,0.8,"3,271",820,,71.0,4.23
Vietnam,265,+3,,,146,119,8,3,,"121,821","1,252",,146.0,
Isle of Man,242,+14,2,,131,109,13,"2,846",24,"2,030","23,873",,133.0,1.5
DRC,235,+1,20,,17,198,,3,0.2,,,,37.0,54.05
Sri Lanka,217,+7,7,,56,154,1,10,0.3,"4,525",211,,63.0,11.11
Kenya,208,+11,9,+1,40,159,2,4,0.2,"8,123",151,,49.0,18.37
Mayotte,207,+11,3,,59,145,3,759,11,"1,400","5,132",,62.0,4.84
Venezuela,189,+8,9,,110,70,6,7,0.3,"203,108","7,143",,119.0,7.56
Faeroe Islands,184,,,,157,27,,"3,766",,"5,509","112,744",,157.0,
Martinique,157,+2,6,,50,101,19,418,16,,,,56.0,10.71
Guatemala,156,+1,5,,19,132,3,9,0.3,"1,134",63,,24.0,20.83
Paraguay,147,+13,6,,22,119,1,21,0.8,"3,394",476,,28.0,21.43
Guadeloupe,145,+2,8,,67,70,13,362,20,,,,75.0,10.67
El Salvador,137,+12,6,,22,109,2,21,0.9,"6,729","1,037",,28.0,21.43
Brunei,136,,1,,107,28,2,311,2,"10,167","23,240",,108.0,0.93
Gibraltar,129,,,,93,36,1,"3,829",,"1,649","48,945",,93.0,
Rwanda,127,+1,,,42,85,,10,,"1,966",152,,42.0,
Mali,123,+18,10,+1,26,87,,6,0.5,,,,36.0,27.78
Cambodia,122,,,,77,45,1,7,,"5,768",345,,77.0,
Trinidad and Tobago,113,,8,,16,89,,81,6,"1,126",805,,24.0,33.33
Madagascar,106,,,,21,85,1,4,,,,,21.0,
Monaco,93,,1,,6,86,5,"2,370",25,,,,7.0,14.29
Aruba,92,,,,32,60,1,862,,"1,145","10,724",,32.0,
French Guiana,86,,,,51,35,1,288,,,,,51.0,
Liechtenstein,79,,1,,55,23,,"2,072",26,900,"23,605",,56.0,1.79
Togo,77,+1,3,,29,45,,9,0.4,"2,739",331,,32.0,9.38
Ethiopia,74,+3,3,,14,57,,0.6,0.03,"4,110",36,,17.0,17.65
Jamaica,73,+1,4,,19,50,,25,1,"1,199",405,,23.0,17.39
Barbados,72,+1,4,,13,55,4,251,14,839,"2,920",,17.0,23.53
Myanmar,62,+21,4,,2,56,,1,0.07,"1,406",26,,6.0,66.67
Congo,60,,5,,5,50,,11,0.9,,,,10.0,50.0
Somalia,60,+35,2,+1,2,56,2,4,0.1,,,,4.0,50.0
Liberia,59,+9,6,+1,4,49,,12,1,,,,10.0,60.0
Bermuda,57,,5,+1,30,22,3,915,80,416,"6,680",,35.0,14.29
Gabon,57,+8,1,,1,55,,26,0.4,,,,2.0,50.0
French Polynesia,55,+2,,,,55,1,196,,920,"3,275",,0.0,
Cayman Islands,54,+1,1,,6,47,3,822,15,580,"8,825",,7.0,14.29
Uganda,54,,,,7,47,,1,,"5,025",110,,7.0,
Sint Maarten,50,,9,,5,36,2,"1,166",210,134,"3,125",,14.0,64.29
Bahamas,49,+3,8,,6,35,1,125,20,,,,14.0,57.14
Tanzania,49,+17,3,,7,39,,0.8,0.05,,,,10.0,30.0
Guyana,47,+2,6,,8,33,5,60,8,213,271,,14.0,42.86
Zambia,45,+2,2,,30,13,1,2,0.1,"1,653",90,,32.0,6.25
Macao,45,,,,10,35,1,69,,,,,10.0,
Haiti,40,+7,3,,,37,,4,0.3,365,32,,3.0,100.0
Guinea-Bissau,38,,,,,38,,19,,"1,500",762,,0.0,
Benin,35,,1,,5,29,,3,0.08,,,,6.0,16.67
Eritrea,34,,,,,34,,10,,,,,0.0,
Saint Martin,32,,2,,11,19,5,828,52,,,,13.0,15.38
Sudan,29,+10,4,+2,4,21,,0.7,0.09,,,,8.0,50.0
Libya,26,+1,1,,9,16,,4,0.1,545,79,,10.0,10.0
Syria,25,,2,,5,18,,1,0.1,,,,7.0,28.57
Antigua and Barbuda,23,+2,2,,3,18,1,235,20,73,745,,5.0,40.0
Chad,23,+5,,,2,21,,1,,,,,2.0,
Equatorial Guinea,21,,,,4,17,,15,,854,609,,4.0,
Mozambique,21,,,,2,19,,0.7,,683,22,,2.0,
Maldives,20,,,,14,6,,37,,,,,14.0,
Angola,19,,2,,4,13,,0.6,0.06,,,,6.0,33.33
Laos,19,,,,,19,,3,,"1,140",157,,0.0,
Belize,18,+4,2,,,16,1,45,5,567,"1,426",,2.0,100.0
New Caledonia,18,,,,1,17,,63,,"2,608","9,135",,1.0,
Zimbabwe,17,+3,3,,,14,,1,0.2,604,41,,3.0,100.0
Mongolia,17,+1,,,4,13,,5,,,,,4.0,
Malawi,16,+3,2,,,14,1,0.8,0.1,314,16,,2.0,100.0
Dominica,16,,,,8,8,,222,,345,"4,793",,8.0,
Fiji,16,,,,,16,,18,,,,,0.0,
Namibia,16,,,,3,13,,6,,362,142,,3.0,
Saint Lucia,15,,,,4,11,,82,,,,,4.0,
Eswatini,15,+1,,,7,8,,13,,714,615,,7.0,
Curaçao,14,,1,,8,5,,85,6,,,,9.0,11.11
Nepal,14,+2,,,1,13,,0.5,,"5,184",178,,1.0,
Grenada,14,,,,,14,2,124,,92,818,,0.0,
Botswana,13,,1,,,12,,6,0.4,"3,115","1,325",,1.0,100.0
Saint Kitts and Nevis,12,,,,,12,,226,,216,"4,060",,0.0,
St. Vincent Grenadines,12,,,,1,11,,108,,56,505,,1.0,
CAR,11,+3,,,3,8,,2,,,,,3.0,
Greenland,11,,,,11,0,,194,,912,"16,065",,11.0,
Montserrat,11,+2,,,1,10,1,"2,204",,36,"7,212",,1.0,
Seychelles,11,,,,,11,,112,,,,,0.0,
Cabo Verde,10,+2,1,,1,8,,18,2,,,,2.0,50.0
Suriname,10,,1,,6,3,,17,2,,,,7.0,14.29
Turks and Caicos,10,+1,1,,,9,,258,26,69,"1,782",,1.0,100.0
Sierra Leone,10,,,,,10,,1,,,,,0.0,
MS Zaandam,9,,2,,,7,,,,,,,2.0,100.0
Gambia,9,,1,,2,6,,4,0.4,281,116,,3.0,33.33
Nicaragua,9,,1,,4,4,,1,0.2,,,,5.0,20.0
Vatican City,8,,,,2,6,,"9,988",,,,,2.0,
Mauritania,7,,1,,2,4,,2,0.2,527,113,,3.0,33.33
St. Barth,6,,,,4,2,,607,,,,,4.0,
Western Sahara,6,,,,,6,,10,,,,,0.0,
Burundi,5,,1,+1,,4,,0.4,0.08,,,,1.0,100.0
Bhutan,5,,,,2,3,,6,,"1,166","1,511",,2.0,
Falkland Islands,5,,,,1,4,,"1,437",,137,"39,368",,1.0,
Sao Tome and Principe,4,,,,,4,,18,,19,87,,0.0,
South Sudan,4,,,,,4,,0.4,,,,,0.0,
Timor-Leste,4,+2,,,1,3,,3,,,,,1.0,
Anguilla,3,,,,1,2,,200,,,,,1.0,
British Virgin Islands,3,,,,2,1,,99,,,,,2.0,
Caribbean Netherlands,3,,,,,3,,114,,10,381,,0.0,
Papua New Guinea,2,,,,,2,,0.2,,72,8,,0.0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,,0.0,
Yemen,1,,,,,1,,0.03,,,,,0.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total:,"1,923,848","+71,591","119,618","+5,423","444,636","1,359,594","51,747",246.8,15.3,,,,564254.0,21.2
