"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
Serbia,"5,690",+372,110,+7,534,"5,046",120,651,13,"32,566","3,727",,644.0,17.08
Malaysia,"5,251",+69,86,+2,"2,967","2,198",51,162,3,"96,695","2,988",,3053.0,2.82
Singapore,"5,050",+623,11,+1,708,"4,331",22,863,2,"94,796","16,203",,719.0,1.53
Belarus,"4,779",+575,42,+2,342,"4,395",65,506,4,"86,813","9,187",,384.0,10.94
Qatar,"4,663",+560,7,,464,"4,192",37,"1,619",2,"58,328","20,245",,471.0,1.49
Ukraine,"4,662",+501,125,+9,246,"4,291",45,107,3,"47,096","1,077",,371.0,33.69
Dominican Republic,"4,126",+371,200,+4,268,"3,658",146,380,18,"13,282","1,224",,468.0,42.74
Panama,"4,016",+265,109,+6,98,"3,809",99,931,25,"17,850","4,137",,207.0,52.66
Finland,"3,489",+120,82,+7,"1,700","1,707",73,630,15,"52,500","9,475",,1782.0,4.6
Luxembourg,"3,480",+36,72,+3,579,"2,829",29,"5,559",115,"32,394","51,749",,651.0,11.06
Colombia,"3,439",+206,153,+9,634,"2,652",98,68,3,"52,085","1,024",,787.0,19.44
Egypt,"2,844",+171,205,+9,646,"1,993",,28,2,"25,000",244,,851.0,24.09
South Africa,"2,783",+178,50,+2,903,"1,830",7,47,0.8,"100,827","1,700",,953.0,5.25
Thailand,"2,700",+28,47,+1,"1,689",964,61,39,0.7,"100,498","1,440",,1736.0,2.71
Argentina,"2,669",,123,+1,666,"1,880",126,59,3,"28,650",634,,789.0,15.59
Morocco,"2,564",+281,135,+5,281,"2,148",1,69,4,"12,952",351,,416.0,32.45
Algeria,"2,418",+150,364,+16,846,"1,208",60,55,8,"3,359",77,,1210.0,30.08
Moldova,"2,264",+110,56,+2,276,"1,932",80,561,14,"9,848","2,441",,332.0,16.87
Greece,"2,224",+17,108,+3,269,"1,847",71,213,10,"50,771","4,871",,377.0,28.65
Bangladesh,"1,838",+266,75,+15,58,"1,705",1,11,0.5,"19,193",117,,133.0,56.39
Croatia,"1,814",+23,36,+1,600,"1,178",30,442,9,"20,953","5,104",,636.0,5.66
Hungary,"1,763",+111,156,+14,207,"1,400",63,182,16,"41,590","4,305",,363.0,42.98
Iceland,"1,754",+15,9,+1,"1,224",521,6,"5,140",26,"39,536","115,859",,1233.0,0.73
Bahrain,"1,740",+40,7,,725,"1,008",3,"1,023",4,"79,564","46,759",,732.0,0.96
Kuwait,"1,658",+134,5,+2,258,"1,395",32,388,1,,,,263.0,1.9
Kazakhstan,"1,546",+144,17,,347,"1,182",22,82,0.9,"85,735","4,566",,364.0,4.67
Iraq,"1,482",+48,81,+1,906,495,,37,2,"51,737","1,286",,987.0,8.21
Estonia,"1,459",+25,38,+2,145,"1,276",11,"1,100",29,"37,594","28,340",,183.0,20.77
New Zealand,"1,409",+8,11,+2,816,582,2,292,2,"74,401","15,429",,827.0,1.33
Uzbekistan,"1,405",+56,4,,156,"1,245",8,42,0.1,"136,000","4,063",,160.0,2.5
Azerbaijan,"1,340",+57,15,,528,797,26,132,1,"86,607","8,542",,543.0,2.76
Slovenia,"1,304",+36,66,+5,174,"1,064",28,627,32,"39,330","18,918",,240.0,27.5
Bosnia and Herzegovina,"1,214",+47,46,+3,320,848,4,370,14,"15,751","4,801",,366.0,12.57
Armenia,"1,201",+42,19,+1,402,780,30,405,6,"10,793","3,642",,421.0,4.51
Lithuania,"1,149",+21,33,+1,210,906,14,422,12,"53,101","19,506",,243.0,13.58
North Macedonia,"1,117",+36,49,+3,139,929,15,536,24,"10,859","5,212",,188.0,26.06
Oman,"1,069",+50,6,+2,176,887,3,209,1,,,,182.0,3.3
Slovakia,"1,049",+72,9,+1,175,865,5,192,2,"37,732","6,911",,184.0,4.89
Hong Kong,"1,022",+4,4,,533,485,9,136,0.5,"131,786","17,579",,537.0,0.74
Cameroon,996,,22,,164,810,,38,0.8,,,,186.0,11.83
Cuba,923,+61,31,+4,192,700,17,81,3,"23,317","2,059",,223.0,13.9
Afghanistan,906,+66,30,,99,777,,23,0.8,,,,129.0,23.26
Tunisia,864,+42,37,,43,784,89,73,3,"14,640","1,239",,80.0,46.25
Bulgaria,846,+46,41,+3,141,664,37,122,6,"18,502","2,663",,182.0,22.53
Cyprus,750,+15,12,,77,661,8,621,10,"29,075","24,081",,89.0,13.48
Djibouti,732,+141,2,,76,654,,741,2,"7,486","7,577",,78.0,2.56
,,,,,,,,,,,,,,
Diamond Princess,712,,13,,644,55,7,,,,,,657.0,1.98
Andorra,696,+23,35,+2,191,470,17,"9,008",453,"1,673","21,653",,226.0,15.49
Ivory Coast,688,+34,6,,193,489,,26,0.2,,,,199.0,3.02
Latvia,682,+7,5,,88,589,5,362,3,"32,837","17,409",,93.0,5.38
Lebanon,668,+5,21,,86,561,30,98,3,"19,185","2,811",,107.0,19.63
Costa Rica,649,+7,4,,88,557,10,127,0.8,"9,752","1,914",,92.0,4.35
Ghana,641,,8,,83,550,2,21,0.3,"50,719","1,632",,91.0,8.79
Niger,627,+43,18,+4,110,499,,26,0.7,"4,688",194,,128.0,14.06
Burkina Faso,557,+11,35,+3,294,228,,27,2,,,,329.0,10.64
Albania,539,+21,26,,283,230,5,187,9,"5,080","1,765",,309.0,8.41
Uruguay,502,,9,,286,207,13,145,3,"11,239","3,235",,295.0,3.05
Nigeria,493,+51,17,+4,159,317,2,2,0.08,"7,153",35,,176.0,9.66
Kyrgyzstan,489,+23,5,,114,370,5,75,0.8,"26,147","4,008",,119.0,4.2
Guinea,477,+39,3,+2,59,415,,36,0.2,,,,62.0,4.84
Channel Islands,470,+13,20,+1,73,377,,"2,703",115,"3,320","19,095",,93.0,21.51
Bolivia,465,+24,31,+2,26,408,3,40,3,"2,185",187,,57.0,54.39
Honduras,442,+16,41,+6,10,391,10,45,4,"2,012",203,,51.0,80.39
San Marino,435,+9,39,+1,57,339,15,"12,820","1,149",846,"24,933",,96.0,40.62
Malta,422,+10,3,,91,328,4,956,7,"21,164","47,932",,94.0,3.19
Jordan,407,+5,7,,265,135,5,40,0.7,"20,500","2,009",,272.0,2.57
Palestine,402,+28,2,,69,331,,79,0.4,"17,329","3,397",,71.0,2.82
Réunion,402,+8,,,237,165,4,449,,,,,237.0,
Taiwan,395,,6,,166,223,,17,0.3,"51,603","2,167",,172.0,3.49
Georgia,370,+22,3,,79,288,6,93,0.8,"5,027","1,260",,82.0,3.66
Senegal,342,+7,2,,198,142,1,20,0.1,,,,200.0,1.0
Mauritius,324,,9,,108,207,3,255,7,"9,755","7,670",,117.0,7.69
Montenegro,303,,5,+1,55,243,7,482,8,"3,874","6,168",,60.0,8.33
Isle of Man,291,+7,4,,169,118,11,"3,422",47,"2,375","27,930",,173.0,2.31
DRC,287,+20,23,+1,25,239,,3,0.3,,,,48.0,47.92
Vietnam,268,,,,198,70,8,3,,"206,253","2,119",,198.0,
Kenya,246,+12,11,,53,182,2,5,0.2,"10,784",201,,64.0,17.19
Mayotte,245,+12,4,+1,117,124,6,898,15,"1,700","6,231",,121.0,3.31
Sri Lanka,244,+6,7,,77,160,1,11,0.3,"4,768",223,,84.0,8.33
Guatemala,214,+18,7,+2,21,186,3,12,0.4,"7,200",402,,28.0,25.0
Venezuela,204,,9,,111,84,4,7,0.3,"268,503","9,442",,120.0,7.5
Paraguay,199,+25,8,,30,161,1,28,1,"4,612",647,,38.0,21.05
Faeroe Islands,184,,,,171,13,,"3,766",,"5,846","119,641",,171.0,
El Salvador,177,+13,7,+1,38,132,2,27,1,"9,267","1,429",,45.0,15.56
Mali,171,,13,,34,124,,8,0.6,,,,47.0,27.66
Martinique,158,,8,,73,77,17,421,21,,,,81.0,9.88
Tanzania,147,+53,5,+1,11,131,4,2,0.08,,,,16.0,31.25
Guadeloupe,145,,8,,67,70,13,362,20,,,,75.0,10.67
Congo,143,+26,6,+1,11,126,,26,1,,,,17.0,35.29
Jamaica,143,,5,,25,113,,48,2,"1,424",481,,30.0,16.67
Rwanda,143,+5,,,65,78,,11,,"6,237",482,,65.0,
Brunei,136,,1,,112,23,2,311,2,"11,089","25,348",,113.0,0.88
Gibraltar,132,+1,,,105,27,1,"3,918",,"1,760","52,239",,105.0,
Cambodia,122,,,,98,24,1,7,,"5,768",345,,98.0,
Madagascar,117,+6,,,33,84,1,4,,"2,357",85,,33.0,
Somalia,116,+36,6,+1,2,108,2,7,0.4,,,,8.0,75.0
Trinidad and Tobago,114,,8,,20,86,,81,6,"1,298",927,,28.0,28.57
Gabon,108,+28,1,,7,100,,49,0.4,572,257,,8.0,12.5
Ethiopia,96,+4,3,,15,78,1,0.8,0.03,"6,231",54,,18.0,16.67
Aruba,96,+1,2,,43,51,1,899,19,"1,298","12,157",,45.0,4.44
French Guiana,96,+10,,,61,35,2,321,,,,,61.0,
Monaco,94,+1,3,,20,71,3,"2,395",76,,,,23.0,13.04
Myanmar,88,+3,4,,5,79,,2,0.07,"3,236",59,,9.0,44.44
Bermuda,83,+2,5,,35,43,9,"1,333",80,552,"8,863",,40.0,12.5
Togo,83,+2,5,,48,30,,10,0.6,"3,926",474,,53.0,9.43
Liechtenstein,79,,1,,55,23,,"2,072",26,900,"23,605",,56.0,1.79
Equatorial Guinea,79,+28,,,4,75,,56,,854,609,,4.0,
Liberia,76,+17,7,+1,7,62,,15,1,,,,14.0,50.0
Barbados,75,,5,,15,55,4,261,17,965,"3,358",,20.0,25.0
Guyana,63,+8,6,,9,48,4,80,8,283,360,,15.0,40.0
Cayman Islands,61,+1,1,,7,53,3,928,15,702,"10,681",,8.0,12.5
Sint Maarten,57,,9,,12,36,6,"1,329",210,163,"3,802",,21.0,42.86
Cabo Verde,56,,1,,1,54,,101,2,,,,2.0,50.0
French Polynesia,55,,,,,55,1,196,,920,"3,275",,0.0,
Uganda,55,,,,20,35,,1,,"9,975",218,,20.0,
Bahamas,54,+1,9,+1,9,36,1,137,23,,,,18.0,50.0
Zambia,52,+4,2,,30,20,1,3,0.1,"2,191",119,,32.0,6.25
Libya,49,,1,,11,37,,7,0.1,699,102,,12.0,8.33
Macao,45,,,,16,29,1,69,,,,,16.0,
Haiti,43,+2,3,,,40,,4,0.3,365,32,,3.0,100.0
Guinea-Bissau,43,,,,,43,,22,,"1,500",762,,0.0,
Syria,38,+5,2,,5,31,,2,0.1,,,,7.0,28.57
Saint Martin,35,,2,,13,20,5,905,52,,,,15.0,13.33
Benin,35,,1,,18,16,,3,0.08,,,,19.0,5.26
Eritrea,35,,,,,35,,10,,,,,0.0,
Mozambique,34,+3,,,2,32,,1,,898,29,,2.0,
Sudan,33,+1,6,+1,4,23,,0.8,0.1,,,,10.0,60.0
Mongolia,31,,,,5,26,,9,,"1,450",442,,5.0,
Nepal,30,+14,,,2,28,,1,,"15,800",542,,2.0,
Maldives,29,+4,,,16,13,,54,,"3,497","6,469",,16.0,
Chad,27,,,,5,22,,2,,,,,5.0,
Sierra Leone,26,+11,,,,26,,3,,,,,0.0,
Zimbabwe,24,+1,3,,2,19,,2,0.2,"2,493",168,,5.0,60.0
Antigua and Barbuda,23,,3,,3,17,1,235,31,73,745,,6.0,50.0
Angola,19,,2,,5,12,,0.6,0.06,,,,7.0,28.57
Laos,19,,,,2,17,,3,,"1,288",177,,2.0,
Belize,18,,2,,,16,1,45,5,651,"1,637",,2.0,100.0
New Caledonia,18,,,,14,4,1,63,,"3,316","11,615",,14.0,
Timor-Leste,18,,,,1,17,,14,,,,,1.0,
Malawi,17,+1,2,,3,12,1,0.9,0.1,417,22,,5.0,40.0
Fiji,17,,,,,17,,19,,,,,0.0,
Eswatini,16,,1,,8,7,,14,0.9,714,615,,9.0,11.11
Dominica,16,,,,8,8,,222,,345,"4,793",,8.0,
Namibia,16,,,,4,12,,6,,362,142,,4.0,
Botswana,15,,1,,,14,,6,0.4,"3,602","1,532",,1.0,100.0
Saint Lucia,15,,,,11,4,,82,,319,"1,737",,11.0,
Curaçao,14,,1,,10,3,,85,6,269,"1,639",,11.0,9.09
Grenada,14,,,,6,8,4,124,,92,818,,6.0,
Saint Kitts and Nevis,14,,,,,14,,263,,234,"4,399",,0.0,
CAR,12,,,,4,8,,2,,,,,4.0,
St. Vincent Grenadines,12,,,,1,11,,108,,87,784,,1.0,
Turks and Caicos,11,,1,,,10,,284,26,83,"2,144",,1.0,100.0
Falkland Islands,11,,,,1,10,,"3,161",,137,"39,368",,1.0,
Greenland,11,,,,11,0,,194,,"1,019","17,950",,11.0,
Montserrat,11,,,,1,10,1,"2,204",,36,"7,212",,1.0,
Seychelles,11,,,,5,6,,112,,,,,5.0,
Suriname,10,,1,,6,3,,17,2,,,,7.0,14.29
MS Zaandam,9,,2,,,7,,,,,,,2.0,100.0
Gambia,9,,1,,2,6,,4,0.4,316,131,,3.0,33.33
Nicaragua,9,,1,,4,4,,1,0.2,,,,5.0,20.0
Vatican City,8,,,,2,6,,"9,988",,,,,2.0,
Mauritania,7,,1,,2,4,,2,0.2,713,153,,3.0,33.33
Papua New Guinea,7,,,,,7,,0.8,,167,19,,0.0,
St. Barth,6,,,,4,2,,607,,,,,4.0,
Western Sahara,6,,,,,6,,10,,,,,0.0,
Burundi,5,,1,,,4,,0.4,0.08,80,7,,1.0,100.0
Bhutan,5,,,,2,3,,6,,"7,913","10,255",,2.0,
British Virgin Islands,4,+1,,,2,2,,132,,,,,2.0,
Sao Tome and Principe,4,,,,,4,,18,,19,87,,0.0,
South Sudan,4,,,,,4,,0.4,,,,,0.0,
Anguilla,3,,,,1,2,,200,,,,,1.0,
Caribbean Netherlands,3,,,,,3,,114,,10,381,,0.0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,,0.0,
Yemen,1,,,,,1,,0.03,,,,,0.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total:,"2,248,863","+86,496","154,145","+8,672","571,573","1,523,145","56,963",288.5,19.8,,,,725718.0,21.24
