"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Closed Case,"Death Rate
(%)"
Poland,"5,205",+357,159,+30,222,"4,824",160,138,4,"99,284","2,623",381,41.73
Romania,"4,761",+344,220,+23,528,"4,013",162,247,11,"47,207","2,454",748,29.41
Japan,"4,667",+410,94,+1,632,"3,941",99,37,0.7,"55,311",437,726,12.95
Ecuador,"4,450",+455,242,+22,140,"4,068",146,252,14,"14,406",817,382,63.35
Peru,"4,342","+1,388",121,+14,"1,333","2,888",113,132,4,"39,599","1,201",1454,8.32
Pakistan,"4,263",+228,61,+4,467,"3,735",25,19,0.3,"42,159",191,528,11.55
Malaysia,"4,119",+156,65,+2,"1,487","2,567",76,127,2,"58,240","1,799",1552,4.19
Philippines,"3,870",+106,182,+5,96,"3,592",1,35,2,"24,500",224,278,65.47
Luxembourg,"3,034",+64,46,+2,500,"2,488",34,"4,847",73,"26,573","42,450",546,8.42
Indonesia,"2,956",+218,240,+19,222,"2,494",,11,0.9,"14,354",52,462,51.95
Saudi Arabia,"2,932",+137,41,,631,"2,260",41,84,1,,,672,6.1
Mexico,"2,785",+346,141,+16,633,"2,011",89,22,1,"25,410",197,774,18.22
Serbia,"2,666",+219,65,+4,118,"2,483",112,305,7,"10,761","1,232",183,35.52
UAE,"2,659",+300,12,,239,"2,408",1,269,1,"593,095","59,967",251,4.78
Panama,"2,528",+428,63,+8,16,"2,449",101,586,15,"11,776","2,729",79,79.75
Finland,"2,487",+179,40,+6,300,"2,147",82,449,7,"36,500","6,588",340,11.76
Thailand,"2,369",+111,30,+3,888,"1,451",61,34,0.4,"71,860","1,030",918,3.27
Qatar,"2,210",+153,6,,178,"2,026",37,767,2,"41,818","14,515",184,3.26
Dominican Republic,"2,111",+155,108,+10,50,"1,953",147,195,10,"4,542",419,158,68.35
Colombia,"2,054",+274,55,+5,123,"1,876",76,40,1,"33,575",660,178,30.9
Greece,"1,884",+52,83,+2,269,"1,532",84,181,8,"32,528","3,121",352,23.58
South Africa,"1,845",+96,18,+5,95,"1,732",7,31,0.3,"63,776","1,075",113,15.93
Argentina,"1,795",+80,65,+5,358,"1,372",96,40,1,"13,330",295,423,15.37
Ukraine,"1,668",+206,52,+7,35,"1,581",33,38,1,"7,205",165,87,59.77
Singapore,"1,623",+142,6,,406,"1,211",29,277,1,"65,000","11,110",412,1.46
Iceland,"1,616",+30,6,,633,977,13,"4,736",18,"30,947","90,689",639,0.94
Algeria,"1,572",+104,205,+12,237,"1,130",46,36,5,"3,359",77,442,46.38
Egypt,"1,560",+110,103,+9,305,"1,152",,15,1,"25,000",244,408,25.25
Croatia,"1,343",+61,19,+1,179,"1,145",36,327,5,"13,125","3,197",198,9.6
Morocco,"1,275",+91,93,+3,97,"1,085",1,35,3,"5,752",156,190,48.95
New Zealand,"1,210",+50,1,,282,927,4,251,0.2,"46,875","9,721",283,0.35
Iraq,"1,202",+80,69,+4,452,681,,30,2,"28,414",706,521,13.24
Estonia,"1,185",+36,24,+3,72,"1,089",11,893,18,"24,813","18,705",96,25.0
Moldova,"1,174",+118,27,+5,40,"1,107",80,291,7,"5,108","1,266",67,40.3
Slovenia,"1,091",+32,40,+4,120,931,35,525,19,"30,669","14,752",160,25.0
Belarus,"1,066",+205,13,,77,976,33,113,1,"46,000","4,868",90,14.44
Hong Kong,961,+25,4,,264,693,14,128,0.5,"96,709","12,900",268,1.49
Lithuania,912,+32,15,,8,889,21,335,6,"30,108","11,060",23,65.22
Hungary,895,+78,58,+11,94,743,17,93,6,"25,748","2,665",152,38.16
Armenia,881,+28,9,+1,114,758,30,297,3,"5,452","1,840",123,7.32
Kuwait,855,+112,1,,111,743,21,200,0.2,,,112,0.89
Bahrain,823,+12,5,,477,341,3,484,3,"52,351","30,766",482,1.04
Azerbaijan,822,+105,8,,63,751,23,81,0.8,"53,300","5,257",71,11.27
Bosnia and Herzegovina,804,+40,34,+1,79,691,4,245,10,"6,911","2,106",113,30.09
Cameroon,730,+45,10,+1,60,660,,27,0.4,,,70,14.29
Kazakhstan,727,+30,7,+1,54,666,21,39,0.4,"56,775","3,024",61,11.48
Diamond Princess,712,,11,,619,82,10,,,,,630,1.75
Slovakia,682,+101,2,,16,664,3,125,0.4,"19,681","3,605",18,11.11
Tunisia,628,+5,24,+1,25,579,67,53,2,"8,878",751,49,48.98
North Macedonia,617,+18,29,+3,35,553,15,296,14,"6,230","2,990",64,45.31
Bulgaria,593,+16,24,+1,42,527,27,85,3,"15,899","2,288",66,36.36
Latvia,577,+29,2,,16,559,5,306,1,"24,036","12,743",18,11.11
Lebanon,576,+28,19,,62,495,29,84,3,"10,808","1,583",81,23.46
Andorra,564,+19,23,+1,52,489,17,"7,300",298,"1,673","21,653",75,30.67
Uzbekistan,545,+25,3,+1,30,512,8,16,0.09,,,33,9.09
Cyprus,526,+32,9,,52,465,13,436,7,"14,273","11,822",61,14.75
Costa Rica,502,+19,3,+1,29,470,15,99,0.6,"6,035","1,185",32,9.38
Cuba,457,+61,12,+1,27,418,15,40,1,"9,410",831,39,30.77
Uruguay,456,+32,7,,192,257,14,131,2,"6,175","1,778",199,3.52
Afghanistan,444,+21,14,,29,401,,11,0.4,,,43,32.56
Oman,419,+48,2,,72,345,3,82,0.4,,,74,2.7
Burkina Faso,414,+30,23,+4,134,257,,20,1,,,157,14.65
Albania,400,+17,22,,154,224,7,139,8,"2,989","1,039",176,12.5
Ivory Coast,384,+35,3,,48,333,,15,0.1,,,51,5.88
Taiwan,379,+3,5,,67,307,,16,0.2,"40,702","1,709",72,6.94
Réunion,362,+4,,,40,322,4,404,,,,40,
Jordan,358,+5,6,,150,202,5,35,0.6,"17,000","1,666",156,3.85
Channel Islands,351,+16,8,+1,38,305,,"2,019",46,"1,157","6,655",46,17.39
Niger,342,+64,11,,28,303,,14,0.5,"4,199",173,39,28.21
Ghana,313,+26,6,+1,34,273,2,10,0.2,,,40,15.0
Honduras,312,+7,22,,6,284,10,32,2,,,28,78.57
San Marino,308,+29,34,,45,229,14,"9,077","1,002",722,"21,278",79,43.04
Malta,299,+6,1,+1,16,282,4,677,2,"12,731","28,833",17,5.88
Nigeria,276,+22,6,,44,226,2,1,0.03,"5,000",24,50,12.0
Mauritius,273,+5,7,,19,247,3,215,6,"4,913","3,863",26,26.92
Kyrgyzstan,270,+42,4,,33,233,5,41,0.6,"9,618","1,474",37,10.81
Palestine,263,+2,1,,44,218,,52,0.2,"15,450","3,029",45,2.22
Vietnam,251,,,,126,125,8,3,,"110,124","1,131",126,
Montenegro,248,+7,2,,4,242,7,395,3,"2,329","3,708",6,33.33
Senegal,244,+7,2,,113,129,1,15,0.1,,,115,1.74
Bangladesh,218,+54,20,+3,33,165,1,1,0.1,"5,164",31,53,37.74
Georgia,211,+15,3,,50,158,6,53,0.8,"3,271",820,53,5.66
Bolivia,210,+16,15,+1,2,193,3,18,1,591,51,17,88.24
Sri Lanka,189,+4,7,+1,44,138,5,9,0.3,"3,248",152,51,13.73
Mayotte,184,+13,2,,22,160,3,674,7,"1,100","4,032",24,8.33
Faeroe Islands,184,,,,131,53,1,"3,766",,"5,153","105,458",131,
DRC,180,,18,,9,153,,2,0.2,,,27,66.67
Kenya,179,+7,6,,9,164,2,3,0.1,"4,973",92,15,40.0
Venezuela,167,+1,9,+2,65,93,6,6,0.3,"1,779",63,74,12.16
Guinea,164,+20,,,5,159,,12,,,,5,
Isle of Man,158,+8,1,,82,75,7,"1,858",12,"1,824","21,450",83,1.2
Martinique,154,+2,6,+2,50,98,19,410,16,,,56,10.71
Guadeloupe,141,+2,8,+1,43,90,13,352,20,,,51,15.69
Brunei,135,,1,,91,43,3,309,2,"8,845","20,218",92,1.09
Djibouti,135,+45,,,25,110,,137,,"3,106","3,144",25,
Gibraltar,120,+7,,,60,60,,"3,562",,"1,481","43,958",60,
Paraguay,119,+4,5,,15,99,1,17,0.7,"2,039",286,20,25.0
Cambodia,117,+2,,,63,54,1,7,,"5,768",345,63,
Rwanda,110,+5,,,7,103,,8,,806,62,7,
Trinidad and Tobago,107,,8,,1,98,,76,6,878,627,9,88.89
El Salvador,93,+15,5,+1,9,79,2,14,0.8,,,14,35.71
Madagascar,93,+5,,,11,82,1,3,,,,11,
Guatemala,87,+10,3,,17,67,3,5,0.2,"1,134",63,20,15.0
French Guiana,83,+6,,,43,40,1,278,,,,43,
Monaco,81,+2,1,,4,76,4,"2,064",25,,,5,20.0
Liechtenstein,78,,1,,55,22,,"2,046",26,900,"23,605",56,1.79
Aruba,77,+3,,,14,63,,721,,990,"9,273",14,
Togo,70,+5,3,,23,44,,8,0.4,"1,747",211,26,11.54
Jamaica,63,,4,+1,10,49,,21,1,540,182,14,28.57
Barbados,63,,3,,8,52,4,219,10,655,"2,279",11,27.27
Mali,59,+3,7,+2,16,36,,3,0.3,,,23,30.43
Ethiopia,55,+3,2,,4,49,1,0.5,0.02,"2,496",22,6,33.33
Uganda,53,+1,,,,53,,1,,"3,310",72,0,
French Polynesia,51,+4,,,,51,,182,,744,"2,649",0,
Congo,45,,5,,2,38,,8,0.9,,,7,71.43
Cayman Islands,45,,1,,6,38,,685,15,479,"7,288",7,14.29
Macao,45,+1,,,10,35,1,69,,,,10,
Bahamas,40,+7,7,+1,5,28,1,102,18,,,12,58.33
Sint Maarten,40,,6,,1,33,2,933,140,112,"2,612",7,85.71
Bermuda,39,,3,+1,23,13,,626,48,315,"5,058",26,11.54
Zambia,39,,1,,7,31,1,2,0.05,"1,239",67,8,12.5
Guyana,37,+4,6,+1,8,23,4,47,8,145,184,14,42.86
Gabon,34,+4,1,,1,32,,15,0.4,,,2,50.0
Eritrea,33,+2,,,,33,,9,,,,0,
Guinea-Bissau,33,,,,,33,,17,,,,0,
Saint Martin,32,,2,,7,23,6,828,52,,,9,22.22
Liberia,31,+17,4,+1,3,24,,6,0.8,,,7,57.14
Haiti,27,+2,1,,,26,,2,0.09,257,23,1,100.0
Benin,26,,1,,5,20,,2,0.08,,,6,16.67
Tanzania,25,+1,1,,5,19,,0.4,0.02,,,6,16.67
Myanmar,22,,3,+2,,19,,0.4,0.06,"1,246",23,3,100.0
Libya,21,+1,1,,8,12,,3,0.1,355,52,9,11.11
Angola,19,+2,2,,2,15,,0.6,0.06,,,4,50.0
Antigua and Barbuda,19,,2,+1,,17,1,194,20,40,408,2,100.0
Syria,19,,2,,4,13,,1,0.1,,,6,33.33
Maldives,19,,,,13,6,,35,,,,13,
Equatorial Guinea,18,+2,,,3,15,,13,,854,609,3,
New Caledonia,18,,,,1,17,,63,,"2,320","8,126",1,
Mozambique,17,+7,,,1,16,,0.5,,467,15,1,
Mongolia,16,+1,,,4,12,,5,,,,4,
Namibia,16,,,,3,13,,6,,362,142,3,
Dominica,15,,,,1,14,,208,,293,"4,070",1,
Fiji,15,,,,,15,,17,,,,0,
Laos,15,+1,,,,15,,2,,781,107,0,
Sudan,14,,2,,2,10,,0.3,0.05,,,4,50.0
Curaçao,14,+1,1,,7,6,,85,6,,,8,12.5
Saint Lucia,14,,,,1,13,,76,,,,1,
Somalia,12,+4,1,+1,1,10,,0.8,0.06,,,2,50.0
Grenada,12,,,,,12,2,107,,45,400,0,
Eswatini,12,+2,,,7,5,,10,,,,7,
Zimbabwe,11,,3,+1,,8,,0.7,0.2,371,25,3,100.0
Greenland,11,,,,11,0,,194,,770,"13,564",11,
Saint Kitts and Nevis,11,,,,,11,,207,,183,"3,440",0,
Seychelles,11,,,,,11,,112,,,,0,
Suriname,10,,1,,3,6,,17,2,,,4,25.0
Chad,10,,,,2,8,,0.6,,,,2,
MS Zaandam,9,,2,,,7,,,,,,2,100.0
Nepal,9,,,,1,8,,0.3,,"2,366",81,1,
Montserrat,9,,,,,9,1,"1,803",,36,"7,212",0,
Belize,8,+1,1,,,7,1,20,3,268,674,1,100.0
Malawi,8,,1,,,7,1,0.4,0.05,,,1,100.0
Turks and Caicos,8,,1,,,7,,207,26,61,"1,576",1,100.0
CAR,8,,,,,8,,2,,,,0,
Vatican City,8,+1,,,2,6,,"9,988",,,,2,
St. Vincent Grenadines,8,,,,1,7,,72,,56,505,1,
Cabo Verde,7,,1,,1,5,,13,2,,,2,50.0
Sierra Leone,7,+1,,,,7,,0.9,,,,0,
Botswana,6,,1,,,5,,3,0.4,"1,154",491,1,100.0
Mauritania,6,,1,,2,3,,1,0.2,67,14,3,33.33
Nicaragua,6,,1,,,5,,0.9,0.2,,,1,100.0
St. Barth,6,,,,1,5,,607,,,,1,
Bhutan,5,,,,2,3,,6,,"1,166","1,511",2,
Falkland Islands,5,+3,,,1,4,,"1,437",,137,"39,368",1,
Gambia,4,,1,,2,1,,2,0.4,,,3,33.33
Sao Tome and Principe,4,,,,,4,,18,,19,87,0,
Western Sahara,4,,,,,4,,7,,,,0,
Anguilla,3,,,,,3,,200,,,,0,
British Virgin Islands,3,,,,,3,,99,,,,0,
Burundi,3,,,,,3,,0.3,,,,0,
Caribbean Netherlands,2,,,,,2,,76,,10,381,0,
Papua New Guinea,2,,,,,2,,0.2,,72,8,0,
South Sudan,2,,,,,2,,0.2,,,,0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,0,
Timor-Leste,1,,,,,1,,0.8,,,,0,
Total:,"1,517,960","+84,384","88,455","+6,414","330,266","1,099,239","48,092",195,11.3,,,418721,21.13
