"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Closed Case,"Death Rate
(%)"
Tunisia,623,+27,23,+1,25,575,39,53,2,"8,274",700,48,47.92
North Macedonia,599,+29,26,+3,30,543,15,288,12,"5,879","2,822",56,46.43
Slovakia,581,+47,2,,13,566,3,106,0.4,"17,639","3,231",15,13.33
Bulgaria,577,+28,23,+1,42,512,21,83,3,"15,899","2,288",65,35.38
Lebanon,548,+7,19,,62,467,29,80,3,"10,221","1,497",81,23.46
Latvia,548,+6,2,+1,16,530,5,291,1,"22,575","11,969",18,11.11
Andorra,545,+20,22,+1,39,484,17,"7,054",285,"1,673","21,653",61,36.07
Uzbekistan,520,+63,2,,30,488,8,16,0.06,,,32,6.25
Cyprus,494,+29,9,,47,438,13,409,7,"13,017","10,781",56,16.07
Costa Rica,483,+16,2,,24,457,14,95,0.4,"5,525","1,085",26,7.69
Uruguay,424,+9,7,+1,150,267,14,122,2,"5,727","1,649",157,4.46
Afghanistan,423,+56,14,+3,18,391,,11,0.4,,,32,43.75
Cuba,396,+46,11,+2,27,358,15,35,1.0,"7,054",623,38,28.95
Burkina Faso,384,+20,19,+1,127,238,,18,0.9,,,146,13.01
Albania,383,+6,22,+1,131,230,7,133,8,"2,753",957,153,14.38
Taiwan,376,+3,5,,61,310,,16,0.2,"40,702","1,709",66,7.58
Oman,371,+40,2,,67,302,3,73,0.4,,,69,2.9
Réunion,358,+9,,,40,318,4,400,,,,40,
Jordan,353,+4,6,,138,209,5,35,0.6,"17,000","1,666",144,4.17
Ivory Coast,349,+26,3,,41,305,,13,0.1,,,44,6.82
Channel Islands,335,+12,7,,34,294,,"1,927",40,"1,157","6,655",41,17.07
Honduras,305,+7,22,,6,277,10,31,2,,,28,78.57
Malta,293,+52,,,5,288,4,664,,"10,923","24,738",5,
Ghana,287,+73,5,,31,251,2,9,0.2,,,36,13.89
San Marino,279,+2,34,+2,40,205,14,"8,223","1,002",586,"17,270",74,45.95
Niger,278,+25,11,+1,26,241,,11,0.5,"4,199",173,37,29.73
Mauritius,268,+24,7,,8,253,3,211,6,"4,913","3,863",15,46.67
Palestine,261,+7,1,,42,218,,51,0.2,"15,140","2,968",43,2.33
Nigeria,254,+16,6,+1,44,204,2,1,0.03,"5,000",24,50,12.0
Vietnam,251,+6,,,123,128,8,3,,"106,399","1,093",123,
Montenegro,241,+8,2,,4,235,7,384,3,"2,014","3,207",6,33.33
Senegal,237,+11,2,,105,130,1,14,0.1,,,107,1.87
Kyrgyzstan,228,+12,4,,33,191,5,35,0.6,"9,618","1,474",37,10.81
Georgia,196,+8,3,+1,46,147,6,49,0.8,"2,762",692,49,6.12
Bolivia,194,+11,14,+3,2,178,3,17,1,591,51,16,87.5
Sri Lanka,185,+7,6,+1,42,137,5,9,0.3,"3,248",152,48,12.5
Faeroe Islands,184,+1,,,120,64,2,"3,766",,"5,035","103,043",120,
DRC,180,+19,18,,9,153,,2,0.2,,,27,66.67
Kenya,172,+14,6,,7,159,2,3,0.1,"4,973",92,13,46.15
Mayotte,171,+7,2,,22,147,3,627,7,"1,100","4,032",24,8.33
Venezuela,166,+1,7,,65,94,6,6,0.2,"1,779",63,72,9.72
Bangladesh,164,+41,17,+5,33,114,1,1.0,0.1,"4,289",26,50,34.0
Martinique,152,+1,4,,50,98,20,405,11,,,54,7.41
Isle of Man,150,+11,1,,73,76,6,"1,764",12,"1,669","19,628",74,1.35
Guinea,144,+16,,,5,139,,11,,,,5,
Guadeloupe,139,,7,,31,101,14,347,17,,,38,18.42
Brunei,135,,1,,85,49,3,309,2,"8,845","20,218",86,1.16
Paraguay,115,+2,5,,15,95,1,16,0.7,"2,039",286,20,25.0
Cambodia,115,+1,,,58,57,1,7,,"5,768",345,58,
Gibraltar,113,+4,,,60,53,,"3,354",,"1,440","42,741",60,
Trinidad and Tobago,107,+2,8,,1,98,,76,6,878,627,9,88.89
Rwanda,105,,,,7,98,,8,,806,62,7,
Djibouti,90,,,,9,81,,91,,"2,229","2,256",9,
Madagascar,88,+6,,,7,81,6,3,,,,7,
Monaco,79,+2,1,,4,74,4,"2,013",25,,,5,20.0
El Salvador,78,+9,4,,5,69,4,12,0.6,,,9,44.44
Liechtenstein,78,+1,1,,55,22,,"2,046",26,900,"23,605",56,1.79
Guatemala,77,+7,3,,17,57,3,4,0.2,"1,134",63,20,15.0
French Guiana,77,+5,,,34,43,1,258,,,,34,
Aruba,74,+3,,,14,60,,693,,954,"8,935",14,
Togo,65,+7,3,,23,39,,8,0.4,"1,617",195,26,11.54
Barbados,63,+3,3,+1,6,54,4,219,10,557,"1,938",9,33.33
Jamaica,63,+4,3,,9,51,,21,1,540,182,12,25.0
Mali,56,+9,5,,12,39,,3,0.2,,,17,29.41
Ethiopia,52,+8,2,,4,46,1,0.5,0.02,"2,271",20,6,33.33
Uganda,52,,,,,52,,1,,"3,310",72,0,
French Polynesia,47,+5,,,,47,,167,,694,"2,471",0,
Congo,45,,5,,2,38,,8,0.9,,,7,71.43
Cayman Islands,45,+6,1,,6,38,,685,15,479,"7,288",7,14.29
Macao,44,,,,10,34,1,68,,,,10,
Sint Maarten,40,+3,6,,1,33,2,933,140,112,"2,612",7,85.71
Bermuda,39,,2,,17,20,,626,32,306,"4,913",19,10.53
Zambia,39,,1,,7,31,,2,0.05,619,34,8,12.5
Bahamas,33,,6,+1,5,22,1,84,15,,,11,54.55
Guyana,33,+2,5,+1,8,20,4,42,6,132,168,13,38.46
Guinea-Bissau,33,+15,,,,33,,17,,,,0,
Saint Martin,32,,2,,7,23,6,828,52,,,9,22.22
Eritrea,31,,,,,31,,9,,,,0,
Gabon,30,+6,1,,1,28,,13,0.4,,,2,50.0
Benin,26,,1,,5,20,,2,0.08,,,6,16.67
Haiti,25,+1,1,,,24,,2,0.09,257,23,1,100.0
Tanzania,24,,1,,5,18,,0.4,0.02,,,6,16.67
Myanmar,22,,1,,,21,,0.4,0.02,"1,246",23,1,100.0
Libya,20,+1,1,,1,18,,3,0.1,326,47,2,50.0
Syria,19,,2,,3,14,,1,0.1,,,5,40.0
Antigua and Barbuda,19,+4,1,+1,,18,1,194,10,40,408,1,100.0
Maldives,19,,,,13,6,,35,,,,13,
New Caledonia,18,,,,1,17,,63,,"2,320","8,126",1,
Angola,17,+1,2,,2,13,,0.5,0.06,,,4,50.0
Equatorial Guinea,16,,,,3,13,,11,,854,609,3,
Namibia,16,,,,3,13,,6,,362,142,3,
Dominica,15,,,,1,14,,208,,293,"4,070",1,
Fiji,15,+1,,,,15,,17,,,,0,
Mongolia,15,,,,4,11,,5,,,,4,
Liberia,14,,3,,3,8,,3,0.6,,,6,50.0
Sudan,14,+2,2,,2,10,,0.3,0.05,,,4,50.0
Laos,14,+2,,,,14,,2,,765,105,0,
Saint Lucia,14,,,,1,13,,76,,,,1,
Curaçao,13,,1,,7,5,,79,6,,,8,12.5
Grenada,12,,,,,12,2,107,,45,400,0,
Zimbabwe,11,+1,2,+1,,9,,0.7,0.1,371,25,2,100.0
Greenland,11,,,,10,1,,194,,752,"13,246",10,
Saint Kitts and Nevis,11,+1,,,,11,,207,,183,"3,440",0,
Seychelles,11,,,,,11,,112,,,,0,
Suriname,10,,1,,,9,,17,2,,,1,100.0
Chad,10,+1,,,2,8,,0.6,,,,2,
Mozambique,10,,,,1,9,,0.3,,424,14,1,
Eswatini,10,,,,4,6,,9,,,,4,
MS Zaandam,9,,2,,,7,,,,,,2,100.0
Nepal,9,,,,1,8,,0.3,,"1,890",65,1,
Montserrat,9,+3,,,,9,1,"1,803",,36,"7,212",0,
Malawi,8,+3,1,+1,,7,1,0.4,0.05,,,1,100.0
Turks and Caicos,8,,1,,,7,,207,26,61,"1,576",1,100.0
CAR,8,,,,,8,,2,,,,0,
St. Vincent Grenadines,8,+1,,,1,7,,72,,56,505,1,
Somalia,8,+1,,,1,7,,0.5,,,,1,
Belize,7,,1,,,6,1,18,3,268,674,1,100.0
Cabo Verde,7,,1,,1,5,,13,2,,,2,50.0
Vatican City,7,,,,,7,,"8,739",,,,0,
Botswana,6,,1,,,5,,3,0.4,"1,154",491,1,100.0
Mauritania,6,,1,,2,3,,1,0.2,67,14,3,33.33
Nicaragua,6,,1,,,5,,0.9,0.2,,,1,100.0
St. Barth,6,,,,1,5,,607,,,,1,
Sierra Leone,6,,,,,6,,0.8,,,,0,
Bhutan,5,,,,2,3,,6,,"1,166","1,511",2,
Gambia,4,,1,,2,1,,2,0.4,,,3,33.33
Sao Tome and Principe,4,,,,,4,,18,,19,87,0,
Western Sahara,4,,,,,4,,7,,,,0,
Anguilla,3,,,,,3,,200,,,,0,
British Virgin Islands,3,,,,,3,,99,,,,0,
Burundi,3,,,,,3,,0.3,,,,0,
Caribbean Netherlands,2,,,,,2,,76,,10,381,0,
Falkland Islands,2,,,,,2,,575,,,,0,
Papua New Guinea,2,,,,,2,,0.2,,72,8,0,
South Sudan,2,+1,,,,2,,0.2,,,,0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,0,
Timor-Leste,1,,,,,1,,0.8,,,,0,
Total:,"1,430,919","+84,915","82,034","+7,380","301,905","1,046,980","47,913",183.6,10.5,,,383939,21.37
