"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
Czechia,"5,732",+163,119,+7,346,"5,267",98,535,11,"114,854","10,725",,465.0,25.59
Romania,"5,467",+265,270,+22,729,"4,468",183,284,14,"55,430","2,881",,999.0,27.03
Pakistan,"4,695",+206,66,+1,727,"3,902",45,21,0.3,"54,706",248,,793.0,8.32
Malaysia,"4,346",+118,70,+3,"1,830","2,446",69,134,2,"69,675","2,153",,1900.0,3.68
Philippines,"4,195",+119,221,+18,140,"3,834",1,38,2,"24,500",224,,361.0,61.22
Saudi Arabia,"3,651",+364,47,+3,685,"2,919",57,105,1,"115,585","3,320",,732.0,6.42
Indonesia,"3,512",+219,306,+26,282,"2,924",,13,1,"17,679",65,,588.0,52.04
Mexico,"3,441",+260,194,+20,633,"2,614",89,27,2,"31,492",244,,827.0,23.46
UAE,"3,360",+370,16,+2,418,"2,926",1,340,2,"593,095","59,967",,434.0,3.69
Luxembourg,"3,223",+108,54,+2,500,"2,669",30,"5,149",86,"28,273","45,166",,554.0,9.75
Serbia,"3,105",+238,71,+5,118,"2,916",136,355,8,"14,240","1,630",,189.0,37.57
Panama,"2,974",+222,74,+8,17,"2,883",104,689,17,"11,776","2,729",,91.0,81.32
Finland,"2,769",+164,48,+6,300,"2,421",82,500,9,"41,200","7,436",,348.0,13.79
Dominican Republic,"2,620",+271,126,+8,98,"2,396",147,242,12,"7,936",732,,224.0,56.25
Qatar,"2,512",+136,6,,227,"2,279",37,872,2,"45,339","15,737",,233.0,2.58
Colombia,"2,473",+250,80,+11,197,"2,196",85,49,2,"37,593",739,,277.0,28.88
Thailand,"2,473",+50,33,+1,"1,013","1,427",61,35,0.5,"71,860","1,030",,1046.0,3.15
Ukraine,"2,203",+311,69,+12,61,"2,073",33,50,2,"23,522",538,,130.0,53.08
Singapore,"2,108",+198,7,+1,492,"1,609",29,360,1,"72,680","12,423",,499.0,1.4
Greece,"2,011",+56,92,+5,269,"1,650",77,193,9,"35,532","3,409",,361.0,25.48
South Africa,"2,003",+69,24,+6,410,"1,569",7,34,0.4,"73,028","1,231",,434.0,5.53
Belarus,"1,981",+495,19,+3,169,"1,793",72,210,2,"53,000","5,609",,188.0,10.11
Argentina,"1,975",+81,82,+3,375,"1,518",96,44,2,"16,379",362,,457.0,17.94
Egypt,"1,794",+95,135,+17,384,"1,275",,18,1,"25,000",244,,519.0,26.01
Algeria,"1,761",+95,256,+21,405,"1,100",46,40,6,"3,359",77,,661.0,38.73
Iceland,"1,675",+27,7,+1,751,917,11,"4,909",21,"34,125","100,002",,758.0,0.92
Croatia,"1,495",+88,21,+1,231,"1,243",34,364,5,"14,612","3,559",,252.0,8.33
Morocco,"1,448",+74,107,+10,122,"1,219",1,39,3,"7,239",196,,229.0,46.72
Moldova,"1,438",+149,29,,56,"1,353",80,356,7,"6,271","1,555",,85.0,34.12
New Zealand,"1,283",+44,2,+1,373,908,5,266,0.4,"55,685","11,548",,375.0,0.53
Iraq,"1,279",+47,70,+1,550,659,,32,2,"32,158",800,,620.0,11.29
Estonia,"1,258",+51,24,,93,"1,141",9,948,18,"27,883","21,019",,117.0,20.51
Hungary,"1,190",+210,77,+11,112,"1,001",17,123,8,"29,948","3,100",,189.0,40.74
Slovenia,"1,160",+36,45,+2,137,978,36,558,22,"33,047","15,896",,182.0,24.73
Lithuania,999,+44,22,+6,54,923,14,367,8,"36,051","13,243",,76.0,28.95
Kuwait,993,+83,1,,123,869,26,233,0.2,,,,124.0,0.81
Azerbaijan,991,+65,10,+1,159,822,27,98,1.0,"61,342","6,050",,169.0,5.92
Hong Kong,990,+16,4,,309,677,15,132,0.5,"96,709","12,900",,313.0,1.28
Armenia,937,+16,12,+2,149,776,30,316,4,"6,081","2,052",,161.0,7.45
Bahrain,925,+38,6,+1,539,380,3,544,4,"57,681","33,899",,545.0,1.1
Bosnia and Herzegovina,901,+43,36,+1,129,736,4,275,11,"6,911","2,106",,165.0,21.82
Cameroon,820,+17,12,,98,710,,31,0.5,,,,110.0,10.91
Kazakhstan,812,+31,10,+2,64,738,21,43,0.5,"61,955","3,300",,74.0,13.51
,,,,,,,,,,,,,,
Slovakia,715,+14,2,,23,690,5,131,0.4,"22,957","4,205",,25.0,8.0
Diamond Princess,712,,11,,619,82,10,,,,,,630.0,1.75
North Macedonia,711,+48,32,+2,41,638,15,341,15,"6,571","3,154",,73.0,43.84
Tunisia,671,+28,25,,25,621,78,57,2,"10,087",853,,50.0,50.0
Bulgaria,635,+17,25,+1,54,556,33,91,4,"18,502","2,663",,79.0,31.65
Uzbekistan,624,+42,3,,42,579,8,19,0.09,"70,000","2,091",,45.0,6.67
Latvia,612,+23,3,,16,593,3,324,2,"26,656","14,132",,19.0,15.79
Lebanon,609,+27,20,+1,76,513,28,89,3,"13,530","1,982",,96.0,20.83
Andorra,601,+18,26,+1,71,504,17,"7,778",337,"1,673","21,653",,97.0,26.8
Cyprus,595,+31,10,,58,527,11,493,8,"16,308","13,507",,68.0,14.71
Cuba,564,+49,15,,51,498,11,50,1,"12,023","1,061",,66.0,22.73
Costa Rica,558,+19,3,,42,513,13,110,0.6,"6,298","1,236",,45.0,6.67
Afghanistan,521,+37,15,,32,474,,13,0.4,,,,47.0,31.91
Oman,484,+27,3,,109,372,3,95,0.6,,,,112.0,2.68
Ivory Coast,480,+36,3,,54,423,,18,0.1,,,,57.0,5.26
Uruguay,473,+17,7,,206,260,13,136,2,"6,856","1,974",,213.0,3.29
Burkina Faso,448,+5,26,+2,149,273,,21,1,,,,175.0,14.86
Niger,438,+28,11,,41,386,,18,0.5,"4,298",178,,52.0,21.15
Bangladesh,424,+94,27,+6,33,364,1,3,0.2,"7,359",45,,60.0,45.0
Albania,416,+7,23,,182,211,7,145,8,"3,385","1,176",,205.0,11.22
Channel Islands,398,+37,9,+1,40,349,,"2,289",52,"1,157","6,655",,49.0,18.37
Honduras,382,+39,23,,7,352,10,39,2,"1,600",162,,30.0,76.67
Taiwan,382,+2,6,+1,91,285,,16,0.3,"43,886","1,843",,97.0,6.19
Réunion,382,+20,,,40,342,3,427,,,,,40.0,
Ghana,378,,6,,4,368,2,12,0.2,"37,405","1,204",,10.0,60.0
Jordan,372,,7,,170,195,5,36,0.7,"17,000","1,666",,177.0,3.95
Malta,350,+13,2,,16,332,4,793,5,"13,732","31,100",,18.0,11.11
San Marino,344,+11,34,,50,260,14,"10,138","1,002",846,"24,933",,84.0,40.48
Mauritius,318,+4,9,+2,23,286,3,250,7,"6,730","5,292",,32.0,28.12
Nigeria,305,+17,7,,58,240,2,1,0.03,"5,000",24,,65.0,10.77
Kyrgyzstan,298,+18,5,+1,35,258,5,46,0.8,"9,618","1,474",,40.0,12.5
Bolivia,268,+4,19,+1,2,247,3,23,2,591,51,,21.0,90.48
Palestine,267,+4,2,+1,45,220,,52,0.4,"16,068","3,150",,47.0,4.26
Senegal,265,+15,2,,137,126,1,16,0.1,,,,139.0,1.44
Montenegro,257,+5,2,,4,251,7,409,3,"2,329","3,708",,6.0,33.33
Vietnam,257,+2,,,144,113,8,3,,"118,807","1,221",,144.0,
Georgia,234,+16,3,,54,177,6,59,0.8,"3,271",820,,57.0,5.26
DRC,223,+43,20,+2,16,187,,2,0.2,,,,36.0,55.56
Guinea,212,+18,,,15,197,,16,,,,,15.0,
Isle of Man,201,+11,1,,103,97,11,"2,364",12,"1,934","22,744",,104.0,0.96
Mayotte,191,+7,2,,50,139,4,700,7,"1,300","4,765",,52.0,3.85
Sri Lanka,190,,7,,54,129,5,9,0.3,"3,248",152,,61.0,11.48
Kenya,189,+5,7,,22,160,2,4,0.1,"5,278",98,,29.0,24.14
Faeroe Islands,184,,,,145,39,,"3,766",,"5,408","110,677",,145.0,
Venezuela,175,+4,9,,84,82,6,6,0.3,"139,282","4,898",,93.0,9.68
Martinique,155,+1,6,,50,99,19,413,16,,,,56.0,10.71
Djibouti,150,+10,1,,36,113,,152,1,"3,740","3,785",,37.0,2.7
Guadeloupe,143,,8,,67,68,13,357,20,,,,75.0,10.67
Brunei,136,+1,1,,99,36,3,311,2,"9,342","21,354",,100.0,1.0
Paraguay,129,+5,6,+1,18,105,1,18,0.8,"2,262",317,,24.0,25.0
Gibraltar,127,+4,,,69,58,1,"3,770",,"1,543","45,799",,69.0,
Guatemala,126,+31,3,,17,106,3,7,0.2,"1,134",63,,20.0,15.0
Cambodia,119,,,,72,47,1,7,,"5,768",345,,72.0,
Rwanda,118,+5,,,7,111,,9,,806,62,,7.0,
El Salvador,117,+14,6,,15,96,4,18,0.9,,,,21.0,28.57
Trinidad and Tobago,109,,8,,1,100,,78,6,"1,045",747,,9.0,88.89
Madagascar,93,,,,11,82,1,3,,,,,11.0,
Monaco,90,+6,1,,5,84,4,"2,293",25,,,,6.0,16.67
Mali,87,+13,7,,22,58,,4,0.3,,,,29.0,24.14
Aruba,86,+4,,,27,59,,805,,"1,058","9,910",,27.0,
French Guiana,83,,,,43,40,1,278,,,,,43.0,
Liechtenstein,79,+1,1,,55,23,,"2,072",26,900,"23,605",,56.0,1.79
Togo,76,+3,3,,25,48,,9,0.4,"2,069",250,,28.0,10.71
Barbados,67,+1,4,+1,11,52,4,233,14,736,"2,561",,15.0,26.67
Ethiopia,65,+9,3,+1,4,58,1,0.6,0.03,"3,232",28,,7.0,42.86
Jamaica,63,,4,,13,46,,21,1,907,306,,17.0,23.53
Congo,60,,5,,5,50,,11,0.9,,,,10.0,50.0
Uganda,53,,,,,53,,1,,"3,310",72,,0.0,
French Polynesia,51,,,,,51,,182,,744,"2,649",,0.0,
Sint Maarten,50,+7,8,+2,3,39,2,"1,166",187,134,"3,125",,11.0,72.73
Bermuda,48,,4,,25,19,2,771,64,354,"5,684",,29.0,13.79
Cayman Islands,45,,1,,6,38,,685,15,479,"7,288",,7.0,14.29
Macao,45,,,,10,35,1,69,,,,,10.0,
Gabon,44,,1,,1,42,,20,0.4,,,,2.0,50.0
Bahamas,42,+1,8,,5,29,1,107,20,,,,13.0,61.54
Zambia,40,+1,2,+1,25,13,1,2,0.1,"1,239",67,,27.0,7.41
Guyana,37,,6,,8,23,4,47,8,145,184,,14.0,42.86
Liberia,37,+6,5,+1,3,29,,7,1.0,,,,8.0,62.5
Guinea-Bissau,36,,,,,36,,18,,"1,500",762,,0.0,
Benin,35,+9,1,,5,29,,3,0.08,,,,6.0,16.67
Eritrea,34,+1,,,,34,,10,,,,,0.0,
Tanzania,32,+7,3,+2,5,24,,0.5,0.05,,,,8.0,37.5
Saint Martin,32,,2,,11,19,5,828,52,,,,13.0,15.38
Haiti,31,+1,2,,,29,,3,0.2,365,32,,2.0,100.0
Myanmar,27,+4,3,,2,22,,0.5,0.06,"1,406",26,,5.0,60.0
Libya,24,,1,,8,15,,3,0.1,492,72,,9.0,11.11
Antigua and Barbuda,21,+2,2,,,19,1,214,20,40,408,,2.0,100.0
Somalia,21,+9,1,,1,19,,1,0.06,,,,2.0,50.0
Mozambique,20,+3,,,2,18,,0.6,,483,15,,2.0,
Angola,19,,2,,2,15,,0.6,0.06,,,,4.0,50.0
Syria,19,,2,,4,13,,1,0.1,,,,6.0,33.33
Maldives,19,,,,13,6,,35,,,,,13.0,
Equatorial Guinea,18,,,,3,15,,13,,854,609,,3.0,
New Caledonia,18,,,,1,17,,63,,"2,608","9,135",,1.0,
Sudan,17,+2,2,,2,13,,0.4,0.05,,,,4.0,50.0
Dominica,16,+1,,,5,11,,222,,309,"4,293",,5.0,
Fiji,16,+1,,,,16,,18,,,,,0.0,
Laos,16,,,,,16,,2,,"1,035",142,,0.0,
Mongolia,16,,,,4,12,,5,,,,,4.0,
Namibia,16,,,,3,13,,6,,362,142,,3.0,
Saint Lucia,15,+1,,,1,14,,82,,,,,1.0,
Curaçao,14,,1,,7,6,,85,6,,,,8.0,12.5
Grenada,14,+2,,,,14,2,124,,92,818,,0.0,
Zimbabwe,13,+2,3,,,10,,0.9,0.2,438,29,,3.0,100.0
Botswana,13,,1,,,12,,6,0.4,"1,154",491,,1.0,100.0
Saint Kitts and Nevis,12,+1,,,,12,,226,,205,"3,853",,0.0,
St. Vincent Grenadines,12,,,,1,11,,108,,56,505,,1.0,
Eswatini,12,,,,7,5,,10,,,,,7.0,
Chad,11,,,,2,9,,0.7,,,,,2.0,
Greenland,11,,,,11,0,,194,,770,"13,564",,11.0,
Seychelles,11,,,,,11,,112,,,,,0.0,
Belize,10,+1,2,+1,,8,1,25,5,364,915,,2.0,100.0
Suriname,10,,1,,4,5,,17,2,,,,5.0,20.0
MS Zaandam,9,,2,,,7,,,,,,,2.0,100.0
Malawi,9,+1,1,,,8,1,0.5,0.05,,,,1.0,100.0
Nepal,9,,,,1,8,,0.3,,"3,524",121,,1.0,
Montserrat,9,,,,,9,1,"1,803",,36,"7,212",,0.0,
Turks and Caicos,8,,1,,,7,,207,26,61,"1,576",,1.0,100.0
CAR,8,,,,,8,,2,,,,,0.0,
Vatican City,8,,,,2,6,,"9,988",,,,,2.0,
Sierra Leone,8,+1,,,,8,,1,,,,,0.0,
Cabo Verde,7,,1,,1,5,,13,2,,,,2.0,50.0
Mauritania,7,,1,,2,4,,2,0.2,380,82,,3.0,33.33
Nicaragua,7,,1,,,6,,1,0.2,,,,1.0,100.0
St. Barth,6,,,,1,5,,607,,,,,1.0,
Bhutan,5,,,,2,3,,6,,"1,166","1,511",,2.0,
Falkland Islands,5,,,,1,4,,"1,437",,137,"39,368",,1.0,
Gambia,4,,1,,2,1,,2,0.4,,,,3.0,33.33
Sao Tome and Principe,4,,,,,4,,18,,19,87,,0.0,
South Sudan,4,+1,,,,4,,0.4,,,,,0.0,
Western Sahara,4,,,,,4,,7,,,,,0.0,
Anguilla,3,,,,,3,,200,,,,,0.0,
British Virgin Islands,3,,,,,3,,99,,,,,0.0,
Burundi,3,,,,,3,,0.3,,,,,0.0,
Caribbean Netherlands,2,,,,,2,,76,,10,381,,0.0,
Papua New Guinea,2,,,,,2,,0.2,,72,8,,0.0,
Timor-Leste,2,+1,,,1,1,,2,,,,,1.0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,,0.0,
Yemen,1,+1,,,,1,,0.03,,,,,0.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total:,"1,698,835","+94,625","102,684","+6,971","376,184","1,219,967","49,831",217.9,13.2,,,,478868.0,21.44
