"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
Honduras,510,+16,46,,30,434,10,51,5,"2,535",256,,76.0,60.53
Channel Islands,498,+2,28,+4,285,185,,"2,864",161,"3,320","19,095",,313.0,8.95
San Marino,488,+12,40,,62,386,4,"14,382","1,179","1,872","55,171",,102.0,39.22
Palestine,474,+8,4,,71,399,,93,0.8,"17,329","3,397",,75.0,5.33
Malta,444,+1,3,,165,276,2,"1,006",7,"26,148","59,220",,168.0,1.79
Senegal,442,+30,6,+1,253,183,1,26,0.4,466,28,,259.0,2.32
Jordan,435,+7,7,,315,113,5,43,0.7,"35,000","3,430",,322.0,2.17
Taiwan,426,+1,6,,236,184,,18,0.3,"56,853","2,387",,242.0,2.48
Georgia,416,+8,5,+1,107,304,6,104,1,"8,375","2,099",,112.0,4.46
Réunion,410,,,,238,172,2,458,,,,,238.0,
DRC,359,+9,25,,45,289,,4,0.3,,,,70.0,35.71
Sri Lanka,330,+20,7,,105,218,2,15,0.3,"7,393",345,,112.0,6.25
Mauritius,329,+1,9,,261,59,3,259,7,"9,755","7,670",,270.0,3.33
Mayotte,326,+15,4,,125,197,4,"1,195",15,"2,100","7,698",,129.0,3.1
Guatemala,316,+22,8,+1,24,284,3,18,0.4,"7,200",402,,32.0,25.0
Montenegro,315,+2,5,,116,194,7,502,8,"5,085","8,096",,121.0,4.13
Isle of Man,307,,15,+6,212,80,20,"3,610",176,"2,654","31,211",,227.0,6.61
Kenya,303,+7,14,,74,215,2,6,0.3,"14,704",273,,88.0,15.91
Venezuela,298,+10,10,,122,166,4,10,0.4,"347,236","12,211",,132.0,7.58
Mali,293,+35,17,+3,73,203,,14,0.8,"2,023",100,,90.0,18.89
Somalia,286,,8,,4,274,2,18,0.5,,,,12.0,66.67
Tanzania,284,+30,10,,11,263,7,5,0.2,,,,21.0,47.62
Vietnam,268,,,,223,45,8,3,,"206,253","2,119",,223.0,
Jamaica,252,+24,6,,27,219,,85,2,"2,125",718,,33.0,18.18
El Salvador,237,+12,7,,63,167,3,37,1,"14,375","2,216",,70.0,10.0
Paraguay,213,+5,9,+1,62,142,1,30,1,"6,292",882,,71.0,12.68
Congo,186,+21,6,,16,164,,34,1,,,,22.0,27.27
Faeroe Islands,185,,,,178,7,,"3,786",,"6,270","128,318",,178.0,
Gabon,166,+10,1,,24,141,2,75,0.4,572,257,,25.0,4.0
Martinique,164,+1,14,,73,77,6,437,37,,,,87.0,16.09
Rwanda,153,+3,,,84,69,,12,,"6,959",537,,84.0,
Guadeloupe,148,,12,,76,60,13,370,30,,,,88.0,13.64
Sudan,140,,13,,12,115,,3,0.3,,,,25.0,52.0
Brunei,138,,1,,117,20,2,315,2,"12,149","27,770",,118.0,0.85
Gibraltar,132,,,,127,5,1,"3,918",,"2,020","59,957",,127.0,
Myanmar,123,+2,5,,7,111,,2,0.09,"5,198",96,,12.0,41.67
Cambodia,122,,,,110,12,1,7,,"5,768",345,,110.0,
Madagascar,121,,,,52,69,1,4,,"2,357",85,,52.0,
Ethiopia,116,+2,3,,21,92,,1,0.03,"9,771",85,,24.0,12.5
Trinidad and Tobago,115,,8,,37,70,,82,6,"1,449","1,035",,45.0,17.78
French Guiana,107,+10,1,,84,22,1,358,3,,,,85.0,1.18
Liberia,101,,8,,20,73,,20,2,,,,28.0,28.57
Aruba,100,+3,2,,68,30,4,937,19,"1,504","14,087",,70.0,2.86
Bermuda,99,+1,5,,39,55,10,"1,590",80,949,"15,238",,44.0,11.36
Monaco,94,,3,,26,65,2,"2,395",76,,,,29.0,10.34
Togo,88,+2,6,,56,26,,11,0.7,"4,733",572,,62.0,9.68
Maldives,86,,,,16,70,2,159,,"4,139","7,657",,16.0,
Equatorial Guinea,84,+1,1,+1,7,76,,60,0.7,854,609,,8.0,12.5
Liechtenstein,81,,1,,55,25,,"2,124",26,900,"23,605",,56.0,1.79
Barbados,76,+1,6,+1,27,43,4,264,21,"1,162","4,043",,33.0,18.18
Zambia,74,+4,3,,35,36,1,4,0.2,"2,586",141,,38.0,7.89
Cabo Verde,73,+5,1,,1,71,,131,2,,,,2.0,50.0
Sint Maarten,71,+3,11,+1,22,38,2,"1,656",257,258,"6,017",,33.0,33.33
Guyana,67,+1,7,,9,51,5,85,9,348,442,,16.0,43.75
Cayman Islands,66,,1,,7,58,3,"1,004",15,778,"11,838",,8.0,12.5
Bahamas,65,,9,,12,44,1,165,23,,,,21.0,42.86
Uganda,63,+2,,,45,18,,1,,"14,761",323,,45.0,
Haiti,62,+5,4,+1,2,56,,5,0.4,642,56,,6.0,66.67
Sierra Leone,61,+11,,,6,55,,8,,,,,6.0,
Libya,60,+1,1,,15,44,,9,0.1,"1,181",172,,16.0,6.25
French Polynesia,57,,,,35,22,1,203,,"1,655","5,892",,35.0,
Benin,54,,1,,27,26,,4,0.08,,,,28.0,3.57
Guinea-Bissau,50,,,,3,47,,25,,"1,500",762,,3.0,
Macao,45,,,,26,19,1,69,,,,,26.0,
Nepal,45,+3,,,7,38,,2,,"8,773",301,,7.0,
Syria,42,,3,,6,33,,2,0.2,,,,9.0,33.33
Mozambique,41,+2,,,8,33,,1,,"1,247",40,,8.0,
Eritrea,39,,,,6,33,,11,,,,,6.0,
Saint Martin,38,,2,,19,17,3,983,52,,,,21.0,9.52
Mongolia,35,+1,,,8,27,,11,,"7,130","2,175",,8.0,
Chad,33,,,,8,25,,2,,,,,8.0,
Eswatini,31,,1,,8,22,,27,0.9,714,615,,9.0,11.11
Zimbabwe,28,,4,+1,2,22,,2,0.3,"4,159",280,,6.0,66.67
Angola,25,+1,2,,6,17,,0.8,0.06,,,,8.0,25.0
Antigua and Barbuda,24,+1,3,,10,11,1,245,31,108,"1,103",,13.0,23.08
Malawi,23,+5,3,+1,3,17,1,1,0.2,519,27,,6.0,50.0
Timor-Leste,23,,,,1,22,,17,,322,244,,1.0,
Botswana,22,+2,1,,,21,,9,0.4,"4,432","1,885",,1.0,100.0
Laos,19,,,,4,15,,3,,"1,461",201,,4.0,
Belize,18,,2,,2,14,1,45,5,785,"1,974",,4.0,50.0
Fiji,18,,,,8,10,,20,,,,,8.0,
New Caledonia,18,,,,17,1,1,63,,"3,552","12,441",,17.0,
Dominica,16,,,,9,7,,222,,377,"5,237",,9.0,
Namibia,16,,,,6,10,,6,,524,206,,6.0,
Grenada,15,+1,,,6,9,4,133,,92,818,,6.0,
Saint Kitts and Nevis,15,,,,1,14,,282,,257,"4,831",,1.0,
Saint Lucia,15,,,,15,0,,82,,364,"1,982",,15.0,
Curaçao,14,,1,,11,2,,85,6,302,"1,840",,12.0,8.33
CAR,14,,,,10,4,,3,,,,,10.0,
St. Vincent Grenadines,13,+1,,,3,10,,117,,99,892,,3.0,
Burundi,11,+6,1,,4,6,,0.9,0.08,284,24,,5.0,20.0
Turks and Caicos,11,,1,,4,6,,284,26,83,"2,144",,5.0,20.0
Falkland Islands,11,,,,3,8,,"3,161",,319,"91,667",,3.0,
Greenland,11,,,,11,0,,194,,"1,150","20,257",,11.0,
Montserrat,11,,,,2,9,1,"2,204",,36,"7,212",,2.0,
Seychelles,11,,,,5,6,,112,,,,,5.0,
Nicaragua,10,,2,,7,1,,2,0.3,,,,9.0,22.22
Gambia,10,,1,,2,7,,4,0.4,316,131,,3.0,33.33
Suriname,10,,1,,6,3,,17,2,404,689,,7.0,14.29
MS Zaandam,9,,2,,,7,,,,,,,2.0,100.0
Vatican City,9,,,,2,7,,"11,236",,,,,2.0,
Papua New Guinea,8,+1,,,,8,,0.9,,604,68,,0.0,
Mauritania,7,,1,,6,0,,2,0.2,969,208,,7.0,14.29
Bhutan,7,+1,,,2,5,,9,,"8,953","11,603",,2.0,
St. Barth,6,,,,6,0,,607,,,,,6.0,
Western Sahara,6,,,,,6,,10,,,,,0.0,
British Virgin Islands,5,,1,,3,1,,165,33,,,,4.0,25.0
Caribbean Netherlands,5,,,,,5,,191,,110,"4,195",,0.0,
Sao Tome and Principe,4,,,,,4,,18,,19,87,,0.0,
South Sudan,4,,,,,4,,0.4,,,,,0.0,
Anguilla,3,,,,1,2,,200,,,,,1.0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,,0.0,
Yemen,1,,,,,1,,0.03,,,,,0.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total:,"2,635,716","+79,956","184,066","+6,607","717,444","1,734,206","56,686",338.1,23.6,,,,901510.0,20.42
