"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
Chile,"5,972",+426,57,+9,"1,274","4,641",360,312,3,"68,353","3,576",,1331.0,4.28
Denmark,"5,635",+233,237,+19,"1,736","3,662",120,973,41,"64,002","11,050",,1973.0,12.01
Poland,"5,575",+370,174,+15,284,"5,117",160,147,5,"107,597","2,843",,458.0,37.99
Czechia,"5,569",+257,112,+13,301,"5,156",96,520,10,"106,845","9,977",,413.0,27.12
Japan,"5,347",+680,99,+5,685,"4,563",109,42,0.8,"61,498",486,,784.0,12.63
Peru,"5,256",+914,138,+17,"1,438","3,680",124,159,4,"48,465","1,470",,1576.0,8.76
Romania,"5,202",+441,248,+28,647,"4,307",178,270,13,"51,802","2,693",,895.0,27.71
Ecuador,"4,965",+515,272,+30,339,"4,354",139,281,15,"19,102","1,083",,611.0,44.52
Pakistan,"4,489",+226,65,+4,572,"3,852",31,20,0.3,"44,896",203,,637.0,10.2
Malaysia,"4,228",+109,67,+2,"1,608","2,553",72,131,2,"63,367","1,958",,1675.0,4.0
Philippines,"4,076",+206,203,+21,124,"3,749",1,37,2,"24,500",224,,327.0,62.08
Indonesia,"3,293",+337,280,+40,252,"2,761",,12,1,"14,354",52,,532.0,52.63
Saudi Arabia,"3,287",+355,44,+3,666,"2,577",41,94,1,"115,585","3,320",,710.0,6.2
Mexico,"3,181",+396,174,+33,633,"2,374",89,25,1,"25,410",197,,807.0,21.56
Luxembourg,"3,115",+81,52,+6,500,"2,563",30,"4,976",83,"27,521","43,965",,552.0,9.42
UAE,"2,990",+331,14,+2,268,"2,708",1,302,1,"593,095","59,967",,282.0,4.96
Serbia,"2,867",+201,66,+1,118,"2,683",127,328,8,"12,347","1,413",,184.0,35.87
Panama,"2,752",+224,66,+3,16,"2,670",107,638,15,"11,776","2,729",,82.0,80.49
Finland,"2,605",+118,42,+2,300,"2,263",82,470,8,"39,000","7,039",,342.0,12.28
Thailand,"2,423",+54,32,+2,940,"1,451",61,35,0.5,"71,860","1,030",,972.0,3.29
Qatar,"2,376",+166,6,,206,"2,164",37,825,2,"43,144","14,975",,212.0,2.83
Dominican Republic,"2,349",+238,118,+10,80,"2,151",147,217,11,"7,151",659,,198.0,59.6
Colombia,"2,223",+169,69,+14,174,"1,980",85,44,1,"34,910",686,,243.0,28.4
Greece,"1,955",+71,87,+4,269,"1,599",79,188,8,"33,634","3,227",,356.0,24.44
South Africa,"1,934",+89,18,,95,"1,821",7,33,0.3,"68,874","1,161",,113.0,15.93
Singapore,"1,910",+287,6,,460,"1,444",29,326,1,"65,000","11,110",,466.0,1.29
Argentina,"1,894",+99,79,+14,365,"1,450",96,42,2,"14,850",329,,444.0,17.79
Ukraine,"1,892",+224,57,+5,45,"1,790",33,43,1,"20,608",471,,102.0,55.88
Egypt,"1,699",+139,118,+15,348,"1,233",,17,1,"25,000",244,,466.0,25.32
Algeria,"1,666",+94,235,+30,347,"1,084",46,38,5,"3,359",77,,582.0,40.38
Iceland,"1,648",+32,6,,688,954,11,"4,829",18,"32,663","95,718",,694.0,0.86
Belarus,"1,486",+420,16,+3,139,"1,331",55,157,2,"49,000","5,186",,155.0,10.32
Croatia,"1,407",+64,20,+1,219,"1,168",34,343,5,"13,680","3,332",,239.0,8.37
Morocco,"1,374",+99,97,+4,109,"1,168",1,37,3,"6,116",166,,206.0,47.09
Moldova,"1,289",+115,29,+2,50,"1,210",80,320,7,"5,108","1,266",,79.0,36.71
New Zealand,"1,239",+29,1,,317,921,4,257,0.2,"51,165","10,610",,318.0,0.31
Iraq,"1,232",+30,69,,496,667,,31,2,"30,466",757,,565.0,12.21
Estonia,"1,207",+22,24,,83,"1,100",9,910,18,"26,416","19,914",,107.0,22.43
Slovenia,"1,124",+33,43,+3,128,953,34,541,21,"31,813","15,303",,171.0,25.15
Hungary,980,+85,66,+8,96,818,17,101,7,"27,826","2,880",,162.0,40.74
Hong Kong,974,+13,4,,293,677,14,130,0.5,"96,709","12,900",,297.0,1.35
Lithuania,955,+43,16,+1,8,931,21,351,6,"32,809","12,052",,24.0,66.67
Azerbaijan,926,+104,9,+1,101,816,27,91,0.9,"57,371","5,658",,110.0,8.18
Armenia,921,+40,10,+1,138,773,30,311,3,"5,823","1,965",,148.0,6.76
Kuwait,910,+55,1,,111,798,22,213,0.2,,,,112.0,0.89
Bahrain,887,+64,5,,519,363,3,521,3,"55,096","32,379",,524.0,0.95
Bosnia and Herzegovina,858,+54,35,+1,101,722,4,262,11,"6,911","2,106",,136.0,25.74
Cameroon,803,+73,12,+2,61,730,,30,0.5,,,,73.0,16.44
Kazakhstan,781,+54,8,+1,60,713,21,42,0.4,"59,371","3,162",,68.0,11.76
,,,,,,,,,,,,,,
Diamond Princess,712,,11,,619,82,10,,,,,,630.0,1.75
Slovakia,701,+19,2,,23,676,5,128,0.4,"21,371","3,914",,25.0,8.0
North Macedonia,663,+46,30,+1,37,596,15,318,14,"6,571","3,154",,67.0,44.78
Tunisia,643,+15,25,+1,25,593,78,54,2,"9,570",810,,50.0,50.0
Bulgaria,618,+25,24,,48,546,32,89,3,"15,899","2,288",,72.0,33.33
Latvia,589,+12,3,+1,16,570,3,312,2,"25,458","13,497",,19.0,15.79
Andorra,583,+19,25,+2,58,500,17,"7,545",324,"1,673","21,653",,83.0,30.12
Lebanon,582,+6,19,,67,496,29,85,3,"12,524","1,835",,86.0,22.09
Uzbekistan,582,+37,3,,38,541,8,17,0.09,"70,000","2,091",,41.0,7.32
Cyprus,564,+38,10,+1,53,501,13,467,8,"14,273","11,822",,63.0,15.87
Costa Rica,539,+37,3,,30,506,13,106,0.6,"6,298","1,236",,33.0,9.09
Cuba,515,+58,15,+3,28,472,15,45,1,"9,410",831,,43.0,34.88
Afghanistan,484,+40,15,+1,32,437,,12,0.4,,,,47.0,31.91
Oman,457,+38,3,+1,109,345,3,89,0.6,,,,112.0,2.68
Uruguay,456,,7,,192,257,14,131,2,"6,175","1,778",,199.0,3.52
Ivory Coast,444,+60,3,,52,389,,17,0.1,,,,55.0,5.45
Burkina Faso,443,+29,24,+1,146,273,,21,1,,,,170.0,14.12
Niger,410,+68,11,,40,359,,17,0.5,"4,251",176,,51.0,21.57
Albania,409,+9,23,+1,165,221,7,142,8,"3,223","1,120",,188.0,12.23
Taiwan,380,+1,5,,80,295,,16,0.2,"42,315","1,777",,85.0,5.88
Ghana,378,+65,6,,3,369,2,12,0.2,"12,046",388,,9.0,66.67
Jordan,372,+14,7,+1,161,204,5,36,0.7,"17,000","1,666",,168.0,4.17
Réunion,362,,,,40,322,4,404,,,,,40.0,
Channel Islands,361,+10,8,,40,313,,"2,076",46,"1,157","6,655",,48.0,16.67
Honduras,343,+31,23,+1,6,314,10,35,2,,,,29.0,79.31
Malta,337,+38,2,+1,16,319,4,763,5,"13,732","31,100",,18.0,11.11
San Marino,333,+25,34,,49,250,14,"9,814","1,002",846,"24,933",,83.0,40.96
Bangladesh,330,+112,21,+1,33,276,1,2,0.1,"6,175",37,,54.0,38.89
Mauritius,314,+41,7,,23,284,3,247,6,"6,730","5,292",,30.0,23.33
Nigeria,288,+12,7,+1,51,230,2,1,0.03,"5,000",24,,58.0,12.07
Kyrgyzstan,280,+10,4,,35,241,5,43,0.6,"9,618","1,474",,39.0,10.26
Bolivia,264,+54,18,+3,2,244,3,23,2,591,51,,20.0,90.0
Palestine,263,,1,,44,218,,52,0.2,"16,068","3,150",,45.0,2.22
Vietnam,255,+4,,,128,127,8,3,,"114,241","1,174",,128.0,
Montenegro,252,+4,2,,4,246,7,401,3,"2,329","3,708",,6.0,33.33
Senegal,250,+6,2,,123,125,1,15,0.1,,,,125.0,1.6
Georgia,218,+7,3,,51,164,6,55,0.8,"3,271",820,,54.0,5.56
Guinea,194,+30,,,11,183,,15,,,,,11.0,
Sri Lanka,190,+1,7,,49,134,5,9,0.3,"3,248",152,,56.0,12.5
Isle of Man,190,+32,1,,92,97,12,"2,234",12,"1,879","22,097",,93.0,1.08
Kenya,184,+5,7,+1,12,165,2,3,0.1,"5,278",98,,19.0,36.84
Mayotte,184,,2,,26,156,4,674,7,"1,100","4,032",,28.0,7.14
Faeroe Islands,184,,,,136,48,,"3,766",,"5,299","108,446",,136.0,
DRC,180,,18,,9,153,,2,0.2,,,,27.0,66.67
Venezuela,171,+4,9,,84,78,6,6,0.3,"139,282","4,898",,93.0,9.68
Martinique,154,,6,,50,98,19,410,16,,,,56.0,10.71
Guadeloupe,143,+2,8,,67,68,13,357,20,,,,75.0,10.67
Djibouti,140,+5,1,+1,28,111,,142,1,"3,399","3,440",,29.0,3.45
Brunei,135,,1,,92,42,3,309,2,"8,985","20,538",,93.0,1.08
Paraguay,124,+5,5,,18,101,1,17,0.7,"2,039",286,,23.0,21.74
Gibraltar,123,+3,,,60,63,1,"3,651",,"1,511","44,849",,60.0,
Cambodia,119,+2,,,62,57,1,7,,"5,768",345,,62.0,
Rwanda,113,+3,,,7,106,,9,,806,62,,7.0,
Trinidad and Tobago,109,+2,8,,1,100,,78,6,987,705,,9.0,88.89
El Salvador,103,+10,6,+1,14,83,3,16,0.9,,,,20.0,30.0
Guatemala,95,+8,3,,17,75,3,5,0.2,"1,134",63,,20.0,15.0
Madagascar,93,,,,11,82,1,3,,,,,11.0,
Monaco,84,+3,1,,5,78,4,"2,141",25,,,,6.0,16.67
French Guiana,83,,,,43,40,1,278,,,,,43.0,
Aruba,82,+5,,,20,62,,768,,"1,008","9,441",,20.0,
Liechtenstein,78,,1,,55,22,,"2,046",26,900,"23,605",,56.0,1.79
Mali,74,+15,7,,22,45,,4,0.3,,,,29.0,24.14
Togo,73,+3,3,,24,46,,9,0.4,"1,747",211,,27.0,11.11
Barbados,66,+3,3,,11,52,4,230,10,694,"2,415",,14.0,21.43
Jamaica,63,,4,,12,47,,21,1,907,306,,16.0,25.0
Congo,60,+15,5,,5,50,,11,0.9,,,,10.0,50.0
Ethiopia,56,+1,2,,4,50,2,0.5,0.02,"2,790",24,,6.0,33.33
Uganda,53,,,,,53,,1,,"3,310",72,,0.0,
French Polynesia,51,,,,,51,,182,,744,"2,649",,0.0,
Bermuda,48,+9,4,+1,25,19,,771,64,354,"5,684",,29.0,13.79
Cayman Islands,45,,1,,6,38,,685,15,479,"7,288",,7.0,14.29
Macao,45,,,,10,35,1,69,,,,,10.0,
Gabon,44,+10,1,,1,42,,20,0.4,,,,2.0,50.0
Sint Maarten,43,+3,6,,1,36,2,"1,003",140,112,"2,612",,7.0,85.71
Bahamas,41,+1,8,+1,5,28,1,104,20,,,,13.0,61.54
Zambia,39,,1,,24,14,1,2,0.05,"1,239",67,,25.0,4.0
Guyana,37,,6,,8,23,4,47,8,145,184,,14.0,42.86
Guinea-Bissau,36,+3,,,,36,,18,,"1,500",762,,0.0,
Eritrea,33,,,,,33,,9,,,,,0.0,
Saint Martin,32,,2,,7,23,6,828,52,,,,9.0,22.22
Liberia,31,,4,,3,24,,6,0.8,,,,7.0,57.14
Haiti,30,+3,2,+1,,28,,3,0.2,257,23,,2.0,100.0
Benin,26,,1,,5,20,,2,0.08,,,,6.0,16.67
Tanzania,25,,1,,5,19,,0.4,0.02,,,,6.0,16.67
Libya,24,+3,1,,8,15,,3,0.1,492,72,,9.0,11.11
Myanmar,23,+1,3,,2,18,,0.4,0.06,"1,246",23,,5.0,60.0
Angola,19,,2,,2,15,,0.6,0.06,,,,4.0,50.0
Antigua and Barbuda,19,,2,,,17,1,194,20,40,408,,2.0,100.0
Syria,19,,2,,4,13,,1,0.1,,,,6.0,33.33
Maldives,19,,,,13,6,,35,,,,,13.0,
Equatorial Guinea,18,,,,3,15,,13,,854,609,,3.0,
New Caledonia,18,,,,1,17,,63,,"2,320","8,126",,1.0,
Mozambique,17,,,,1,16,,0.5,,483,15,,1.0,
Laos,16,+1,,,,16,,2,,903,124,,0.0,
Mongolia,16,,,,4,12,,5,,,,,4.0,
Namibia,16,,,,3,13,,6,,362,142,,3.0,
Sudan,15,+1,2,,2,11,,0.3,0.05,,,,4.0,50.0
Dominica,15,,,,1,14,,208,,293,"4,070",,1.0,
Fiji,15,,,,,15,,17,,,,,0.0,
Curaçao,14,,1,,7,6,,85,6,,,,8.0,12.5
Saint Lucia,14,,,,1,13,,76,,,,,1.0,
Botswana,13,+7,1,,,12,,6,0.4,"1,154",491,,1.0,100.0
Somalia,12,,1,,1,10,,0.8,0.06,,,,2.0,50.0
Grenada,12,,,,,12,2,107,,45,400,,0.0,
St. Vincent Grenadines,12,+4,,,1,11,,108,,56,505,,1.0,
Eswatini,12,,,,7,5,,10,,,,,7.0,
Zimbabwe,11,,3,,,8,,0.7,0.2,371,25,,3.0,100.0
Chad,11,+1,,,2,9,,0.7,,,,,2.0,
Greenland,11,,,,11,0,,194,,770,"13,564",,11.0,
Saint Kitts and Nevis,11,,,,,11,,207,,183,"3,440",,0.0,
Seychelles,11,,,,,11,,112,,,,,0.0,
Suriname,10,,1,,4,5,,17,2,,,,5.0,20.0
MS Zaandam,9,,2,,,7,,,,,,,2.0,100.0
Belize,9,+1,1,,,8,1,23,3,364,915,,1.0,100.0
Nepal,9,,,,1,8,,0.3,,"2,895",99,,1.0,
Montserrat,9,,,,,9,1,"1,803",,36,"7,212",,0.0,
Malawi,8,,1,,,7,1,0.4,0.05,,,,1.0,100.0
Turks and Caicos,8,,1,,,7,,207,26,61,"1,576",,1.0,100.0
CAR,8,,,,,8,,2,,,,,0.0,
Vatican City,8,,,,2,6,,"9,988",,,,,2.0,
Cabo Verde,7,,1,,1,5,,13,2,,,,2.0,50.0
Mauritania,7,+1,1,,2,4,,2,0.2,258,55,,3.0,33.33
Nicaragua,7,+1,1,,,6,,1,0.2,,,,1.0,100.0
Sierra Leone,7,,,,,7,,0.9,,,,,0.0,
St. Barth,6,,,,1,5,,607,,,,,1.0,
Bhutan,5,,,,2,3,,6,,"1,166","1,511",,2.0,
Falkland Islands,5,,,,1,4,,"1,437",,137,"39,368",,1.0,
Gambia,4,,1,,2,1,,2,0.4,,,,3.0,33.33
Sao Tome and Principe,4,,,,,4,,18,,19,87,,0.0,
Western Sahara,4,,,,,4,,7,,,,,0.0,
Anguilla,3,,,,,3,,200,,,,,0.0,
British Virgin Islands,3,,,,,3,,99,,,,,0.0,
Burundi,3,,,,,3,,0.3,,,,,0.0,
South Sudan,3,+1,,,,3,,0.3,,,,,0.0,
Caribbean Netherlands,2,,,,,2,,76,,10,381,,0.0,
Papua New Guinea,2,,,,,2,,0.2,,72,8,,0.0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,,0.0,
Timor-Leste,1,,,,,1,,0.8,,,,,0.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total:,"1,603,652","+85,589","95,692","+7,234","356,352","1,151,608","49,158",205.7,12.3,,,,452044.0,21.17
