"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Tot Deaths/
1M pop",Closed Case,"Death Rate
(%)"
Poland,"1,221",+170,16,+2,7,"1,198",3,32,0.4,23,69.57
Pakistan,"1,201",+138,9,+1,21,"1,171",5,5,0.04,30,30.0
Thailand,"1,045",+111,4,,88,953,4,15,0.06,92,4.35
Romania,"1,029",+123,23,+6,94,912,29,53,1,117,19.66
Saudi Arabia,"1,012",+112,3,+1,33,976,6,29,0.09,36,8.33
Finland,958,+78,5,+2,10,943,24,173,0.9,15,33.33
South Africa,927,+218,,,12,915,2,16,,12,
Indonesia,893,+103,78,+20,35,780,,3,0.3,113,69.03
Greece,892,+71,27,+5,36,829,53,86,3,63,42.86
Russia,840,+182,3,,38,799,8,6,0.02,41,7.32
Iceland,802,+65,2,,82,718,11,"2,350",6,84,2.38
India,727,+70,20,+8,45,662,,0.5,0.01,65,30.77
Diamond Princess,712,,10,,597,105,15,,,607,1.65
Philippines,707,+71,45,+7,28,634,1,6,0.4,73,61.64
Singapore,683,+52,2,,172,509,17,117,0.3,174,1.15
Panama,674,+116,9,+1,2,663,20,156,2,11,81.82
Argentina,589,+87,12,+4,72,505,,13,0.3,84,14.29
Peru,580,+100,9,,14,557,14,18,0.3,23,39.13
Slovenia,562,+34,6,+1,10,546,14,270,3,16,37.5
Qatar,549,+12,,,43,506,6,191,,43,
Estonia,538,+134,1,,8,529,6,406,0.8,9,11.11
Egypt,495,+39,24,+3,102,369,,5,0.2,126,19.05
Croatia,495,+53,3,+2,22,470,14,121,0.7,25,12.0
Colombia,491,+21,6,+2,8,477,,10,0.1,14,42.86
Dominican Republic,488,+96,10,,3,475,,45,0.9,13,76.92
Mexico,475,+70,6,+1,4,465,1,4,0.05,10,60.0
Bahrain,458,+39,4,,204,250,1,269,2,208,1.92
Serbia,457,+73,7,+3,15,435,21,52,0.8,22,31.82
Hong Kong,454,+43,4,,110,340,5,61,0.5,114,3.51
Iraq,382,+36,36,+7,105,241,,9,0.9,141,25.53
Lebanon,368,+35,6,,23,339,3,54,0.9,29,20.69
New Zealand,368,+85,,,37,331,1,76,,37,
Algeria,367,+65,25,+4,29,313,,8,0.6,54,46.3
UAE,333,,2,,52,279,2,34,0.2,54,3.7
Lithuania,299,+25,4,,1,294,1,110,1,5,80.0
Armenia,290,+25,1,+1,18,271,6,98,0.3,19,5.26
Morocco,275,+50,11,+5,8,256,1,7,0.3,19,57.89
Bulgaria,264,+22,3,,8,253,8,38,0.4,11,27.27
Hungary,261,+35,10,,28,223,6,27,1,38,26.32
Taiwan,252,+17,2,,29,221,,11,0.08,31,6.45
Latvia,244,+23,,,1,243,,129,,1,
Uruguay,238,+21,,,,238,3,69,,0,
Costa Rica,231,+30,2,,2,227,5,45,0.4,4,50.0
Slovakia,226,+10,,,2,224,2,41,,2,
Andorra,224,+36,3,+2,1,220,6,"2,899",39,4,75.0
Jordan,212,+40,,,1,211,,21,,1,
San Marino,208,,21,,4,183,12,"6,130",619,25,84.0
Kuwait,208,+13,,,49,159,7,49,,49,
North Macedonia,201,+24,3,,3,195,1,96,1,6,50.0
Tunisia,197,+24,5,,2,190,10,17,0.4,7,71.43
Ukraine,196,+51,5,,1,190,,4,0.1,6,83.33
Bosnia and Herzegovina,191,+15,3,,2,186,1,58,0.9,5,60.0
Moldova,177,+28,1,,2,174,28,44,0.2,3,33.33
Albania,174,+28,6,+1,17,151,3,60,2,23,26.09
Vietnam,153,+5,,,20,133,3,2,,20,
Burkina Faso,152,+6,7,+3,10,135,,7,0.3,17,41.18
Cyprus,146,+14,3,,4,139,3,121,2,7,42.86
Faeroe Islands,140,+8,,,47,93,,"2,865",,47,
Réunion,135,+24,,,1,134,,151,,1,
Malta,134,+5,,,2,132,1,303,,2,
Ghana,132,+64,4,,1,127,,4,0.1,5,80.0
Azerbaijan,122,+29,3,+1,15,104,6,12,0.3,18,16.67
Brunei,114,+5,,,5,109,1,261,,5,
Kazakhstan,113,+32,1,+1,2,110,,6,0.05,3,33.33
Oman,109,+10,,,23,86,,21,,23,
Venezuela,107,+1,1,+1,15,91,2,4,0.04,16,6.25
Sri Lanka,106,+4,,,7,99,3,5,,7,
Senegal,105,+6,,,9,96,,6,,9,
Cambodia,98,+2,,,10,88,1,6,,10,
Ivory Coast,96,+16,,,3,93,,4,,3,
Afghanistan,94,+10,4,+2,2,88,,2,0.1,6,66.67
Palestine,86,+15,1,,17,68,,17,0.2,18,5.56
Belarus,86,,,,29,57,2,9,,29,
Mauritius,81,+33,2,,,79,1,64,2,2,100.0
Martinique,81,+15,1,,,80,12,216,3,1,100.0
Georgia,79,+4,,,11,68,1,20,,11,
Cameroon,75,,1,,2,72,,3,0.04,3,33.33
Uzbekistan,75,+15,,,,75,4,2,,0,
Guadeloupe,73,,1,,,72,4,182,2,1,100.0
Montenegro,69,+16,1,,,68,1,110,2,1,100.0
Cuba,67,+10,2,+1,1,64,2,6,0.2,3,66.67
Honduras,67,+15,1,+1,,66,,7,0.1,1,100.0
Channel Islands,66,+20,1,+1,,65,,380,6,1,100.0
Nigeria,65,+14,1,,3,61,,0.3,0.00,4,25.0
Trinidad and Tobago,65,+5,1,,,64,,46,0.7,1,100.0
Bolivia,61,+29,,,,61,,5,,0,
Liechtenstein,56,+5,,,,56,,"1,469",,0,
DRC,51,+3,3,+1,,48,,0.6,0.03,3,100.0
Rwanda,50,+9,,,,50,,4,,0,
Bangladesh,44,+5,5,,11,28,1,0.3,0.03,16,31.25
Kyrgyzstan,44,,,,,44,,7,,0,
Paraguay,41,+4,3,,,38,1,6,0.4,3,100.0
Mayotte,36,,,,,36,,132,,0,
Gibraltar,35,+9,,,13,22,,"1,039",,13,
Macao,33,+2,,,10,23,,51,,10,
Monaco,33,+2,,,1,32,,841,,1,
Kenya,31,+3,1,+1,1,29,,0.6,0.02,2,50.0
French Polynesia,30,+5,,,,30,,107,,0,
Aruba,28,+9,,,1,27,,262,,1,
French Guiana,28,,,,6,22,,94,,6,
Jamaica,26,,1,,2,23,,9,0.3,3,33.33
Isle of Man,26,+3,,,,26,,306,,0,
Guatemala,25,+1,1,,4,20,,1,0.06,5,20.0
Barbados,24,+6,,,,24,,84,,0,
Togo,24,+1,,,1,23,,3,,1,
Madagascar,23,+4,,,,23,,0.8,,0,
Zambia,16,+4,,,,16,,0.9,,0,
Bermuda,15,+8,,,2,13,,241,,2,
New Caledonia,14,,,,,14,,49,,0,
Uganda,14,,,,,14,,0.3,,0,
El Salvador,13,+4,,,,13,,2,,0,
Maldives,13,,,,8,5,,24,,8,
Tanzania,13,,,,,13,,0.2,,0,
Equatorial Guinea,12,+3,,,,12,,9,,0,
Ethiopia,12,,,,,12,,0.1,,0,
Djibouti,11,,,,,11,,11,,0,
Dominica,11,,,,,11,,153,,0,
Mongolia,11,+1,,,,11,,3,,0,
Saint Martin,11,,,,,11,,284,,0,
Niger,10,+3,1,,,9,,0.4,0.04,1,100.0
Bahamas,9,+4,,,1,8,,23,,1,
Cayman Islands,8,,1,,,7,,122,15,1,100.0
Haiti,8,,,,,8,,0.7,,0,
Namibia,8,+1,,,2,6,,3,,2,
Suriname,8,,,,,8,,14,,0,
Curaçao,7,+1,1,,2,4,,43,6,3,33.33
Gabon,7,+1,1,,,6,,3,0.4,1,100.0
Antigua and Barbuda,7,+4,,,,7,,71,,0,
Grenada,7,+6,,,,7,,62,,0,
Mozambique,7,+2,,,,7,,0.2,,0,
Seychelles,7,,,,,7,,71,,0,
Benin,6,,,,,6,,0.5,,0,
Eritrea,6,+2,,,,6,,2,,0,
Greenland,6,,,,2,4,,106,,2,
Laos,6,+3,,,,6,,0.8,,0,
Eswatini,6,+2,,,,6,,5,,0,
Cabo Verde,5,+1,1,,,4,,9,2,1,100.0
Guyana,5,,1,,,4,,6,1,1,100.0
Fiji,5,,,,,5,,6,,0,
Montserrat,5,+4,,,,5,,"1,002",,0,
Myanmar,5,+2,,,,5,,0.09,,0,
Syria,5,,,,,5,,0.3,,0,
Angola,4,+1,,,,4,,0.1,,0,
Congo,4,,,,,4,,0.7,,0,
Guinea,4,,,,,4,,0.3,,0,
Vatican City,4,,,,,4,,"4,994",,0,
Mali,4,+2,,,,4,,0.2,,0,
Gambia,3,,1,,,2,,1,0.4,1,100.0
Sudan,3,,1,,,2,,0.07,0.02,1,100.0
Zimbabwe,3,,1,,,2,,0.2,0.07,1,100.0
Nepal,3,,,,1,2,,0.1,,1,
CAR,3,,,,,3,,0.6,,0,
Chad,3,,,,,3,,0.2,,0,
Liberia,3,,,,,3,,0.6,,0,
Mauritania,3,+1,,,,3,,0.6,,0,
St. Barth,3,,,,,3,,304,,0,
Saint Lucia,3,,,,1,2,,16,,1,
Sint Maarten,3,,,,,3,,70,,0,
Anguilla,2,+2,,,,2,,133,,0,
Belize,2,,,,,2,,5,,0,
Bhutan,2,,,,,2,,3,,0,
British Virgin Islands,2,,,,,2,,66,,0,
Guinea-Bissau,2,,,,,2,,1,,0,
Nicaragua,2,,,,,2,,0.3,,0,
Saint Kitts and Nevis,2,,,,,2,,38,,0,
Somalia,2,+1,,,,2,,0.1,,0,
Turks and Caicos,2,+1,,,,2,,52,,0,
Libya,1,,,,,1,,0.1,,0,
Papua New Guinea,1,,,,,1,,0.1,,0,
St. Vincent Grenadines,1,,,,,1,,9,,0,
Timor-Leste,1,,,,,1,,0.8,,0,
Total:,"531,810","60,842","24,068","2,792","123,405","384,337","19,558",68.2,3.1,147473,16.32
