"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
Serbia,"3,630",+250,80,+6,400,"3,150",146,415,9,"18,312","2,096",,480.0,16.67
Panama,"3,400",+166,87,+8,29,"3,284",106,788,20,"15,147","3,511",,116.0,75.0
Luxembourg,"3,281",+11,66,+4,500,"2,715",30,"5,241",105,"29,165","46,591",,566.0,11.66
Qatar,"2,979",+251,7,+1,275,"2,697",37,"1,034",2,"49,102","17,043",,282.0,2.48
Finland,"2,974",+69,56,+7,300,"2,618",80,537,10,"45,019","8,125",,356.0,15.73
Dominican Republic,"2,967",+208,173,+38,131,"2,663",147,274,16,"9,275",855,,304.0,56.91
Ukraine,"2,777",+266,83,+10,89,"2,605",45,63,2,"30,314",693,,172.0,48.26
Colombia,"2,776",+67,109,+9,270,"2,397",92,55,2,"41,765",821,,379.0,28.76
Belarus,"2,578",+352,26,+3,203,"2,349",50,273,3,"64,000","6,773",,229.0,11.35
Thailand,"2,551",+33,38,+3,"1,218","1,295",61,37,0.5,"71,860","1,030",,1256.0,3.03
Singapore,"2,532",+233,8,,560,"1,964",31,433,1,"72,680","12,423",,568.0,1.41
South Africa,"2,173",+145,25,,410,"1,738",7,37,0.4,"80,085","1,350",,435.0,5.75
Argentina,"2,142",,90,+1,468,"1,584",83,47,2,"19,758",437,,558.0,16.13
Greece,"2,114",+33,98,+5,269,"1,747",76,203,9,"42,261","4,055",,367.0,26.7
Egypt,"2,065",+126,159,+13,589,"1,317",,20,2,"25,000",244,,748.0,21.26
Algeria,"1,914",+89,293,+18,591,"1,030",60,44,7,"3,359",77,,884.0,33.14
Iceland,"1,701",+12,8,,889,804,10,"4,985",23,"35,253","103,308",,897.0,0.89
Moldova,"1,662",+102,31,+1,94,"1,537",80,412,8,"6,271","1,555",,125.0,24.8
Morocco,"1,661",+116,118,+7,177,"1,366",1,45,3,"8,473",230,,295.0,40.0
Croatia,"1,600",+66,23,+2,373,"1,204",34,390,6,"16,381","3,990",,396.0,5.81
Hungary,"1,410",+100,99,+14,118,"1,193",58,146,10,"33,532","3,471",,217.0,45.62
Iraq,"1,352",+34,76,+4,640,636,,34,2,"35,415",880,,716.0,10.61
New Zealand,"1,330",+18,4,,471,855,5,276,0.8,"61,167","12,684",,475.0,0.84
Estonia,"1,309",+5,25,+1,98,"1,186",11,987,19,"30,349","22,878",,123.0,20.33
Kuwait,"1,234",+80,1,,142,"1,091",29,289,0.2,,,,143.0,0.7
Slovenia,"1,205",+17,53,+3,150,"1,002",35,580,25,"34,851","16,764",,203.0,26.11
Bahrain,"1,136",+96,6,,558,572,4,668,4,"63,973","37,596",,564.0,1.06
Azerbaijan,"1,098",+40,11,,250,837,27,108,1,"66,677","6,576",,261.0,4.21
Lithuania,"1,053",+27,23,,97,933,14,387,8,"40,712","14,955",,120.0,19.17
Armenia,"1,013",+46,13,,197,803,30,342,4,"7,164","2,418",,210.0,6.19
Bosnia and Herzegovina,"1,009",+63,39,+2,193,777,4,308,12,"10,975","3,345",,232.0,16.81
Hong Kong,"1,005",+4,4,,360,641,13,134,0.5,"96,709","12,900",,364.0,1.1
Kazakhstan,951,+86,10,,99,842,21,51,0.5,"69,304","3,691",,109.0,9.17
Uzbekistan,865,+98,4,,66,795,8,26,0.1,"70,000","2,091",,70.0,5.71
North Macedonia,828,+68,34,,41,753,15,397,16,"8,057","3,867",,75.0,45.33
Cameroon,820,,12,,98,710,,31,0.5,,,,110.0,10.91
Slovakia,742,+14,2,,23,717,5,136,0.4,"27,426","5,023",,25.0,8.0
,,,,,,,,,,,,,,
Diamond Princess,712,,11,,619,82,10,,,,,,630.0,1.75
Tunisia,707,+22,31,+3,43,633,85,60,3,"11,238",951,,74.0,41.89
Bulgaria,675,+14,29,+1,68,578,36,97,4,"18,502","2,663",,97.0,29.9
Cuba,669,+49,18,+2,92,559,11,59,2,"15,057","1,329",,110.0,16.36
Latvia,651,+21,5,+2,16,630,2,345,3,"28,214","14,958",,21.0,23.81
Andorra,638,+37,29,+3,128,481,17,"8,257",375,"1,673","21,653",,157.0,18.47
Cyprus,633,+17,11,+1,65,557,8,524,9,"17,923","14,845",,76.0,14.47
Lebanon,630,+11,20,,80,530,34,92,3,"15,152","2,220",,100.0,20.0
Bangladesh,621,+139,34,+4,39,548,1,4,0.2,"9,653",59,,73.0,46.58
Afghanistan,607,+52,18,,32,557,,16,0.5,,,,50.0,36.0
Oman,599,+53,4,+1,109,486,3,117,0.8,,,,113.0,3.54
Costa Rica,595,+18,3,,56,536,14,117,0.6,"6,762","1,327",,59.0,5.08
Ivory Coast,574,+41,5,+1,85,484,,22,0.2,,,,90.0,5.56
Ghana,566,+158,8,,4,554,2,18,0.3,"37,954","1,221",,12.0,66.67
Niger,529,+38,12,+1,75,442,,22,0.5,"4,353",180,,87.0,13.79
Uruguay,512,+18,7,,231,274,16,147,2,"8,774","2,526",,238.0,2.94
Burkina Faso,497,+13,27,,161,309,,24,1,,,,188.0,14.36
Albania,446,+13,23,,217,206,7,155,8,"3,877","1,347",,240.0,9.58
Channel Islands,431,+24,9,,48,374,,"2,479",52,"3,320","19,095",,57.0,15.79
Honduras,393,+1,25,+1,7,361,10,40,3,"1,600",162,,32.0,78.12
Jordan,389,+8,7,,201,181,5,38,0.7,"20,500","2,009",,208.0,3.37
Réunion,389,+1,,,40,349,3,434,,,,,40.0,
Taiwan,388,+3,6,,109,273,,16,0.3,"46,547","1,954",,115.0,5.22
Malta,378,+8,3,,44,331,4,856,7,"17,058","38,633",,47.0,6.38
Kyrgyzstan,377,+38,5,,54,318,5,58,0.8,"9,618","1,474",,59.0,8.47
San Marino,356,,35,,53,268,14,"10,492","1,032",846,"24,933",,88.0,39.77
Mauritius,324,+5,9,,42,273,3,255,7,"7,077","5,565",,51.0,17.65
Nigeria,323,+5,10,,85,228,2,2,0.05,"5,000",24,,95.0,10.53
Bolivia,300,+25,24,+4,2,274,3,26,2,"2,185",187,,26.0,92.31
Palestine,290,+22,2,,58,230,,57,0.4,"17,329","3,397",,60.0,3.33
Senegal,280,+2,2,,171,107,1,17,0.1,,,,173.0,1.16
Montenegro,272,+9,3,+1,5,264,7,433,5,"2,869","4,568",,8.0,37.5
Vietnam,262,+4,,,144,118,8,3,,"121,821","1,252",,144.0,
Georgia,257,+15,3,,67,187,6,64,0.8,"3,271",820,,70.0,4.29
Guinea,250,,,,17,233,,19,,,,,17.0,
DRC,234,+11,20,,16,198,,3,0.2,,,,36.0,55.56
Isle of Man,228,+2,2,,112,114,11,"2,681",24,"1,934","22,744",,114.0,1.75
Djibouti,214,+27,2,,36,176,,217,2,"4,451","4,505",,38.0,5.26
Sri Lanka,210,+12,7,,56,147,1,10,0.3,"4,525",211,,63.0,11.11
Kenya,197,+6,8,+1,25,164,2,4,0.1,"7,449",139,,33.0,24.24
Mayotte,196,,3,,59,134,3,718,11,"1,350","4,948",,62.0,4.84
Faeroe Islands,184,,,,157,27,,"3,766",,"5,509","112,744",,157.0,
Venezuela,181,+6,9,,93,79,6,6,0.3,"181,335","6,377",,102.0,8.82
Martinique,155,,6,,50,99,19,413,16,,,,56.0,10.71
Guatemala,155,+18,5,+2,19,131,3,9,0.3,"1,134",63,,24.0,20.83
Guadeloupe,143,,8,,67,68,13,357,20,,,,75.0,10.67
Brunei,136,,1,,106,29,2,311,2,"9,884","22,593",,107.0,0.93
Paraguay,134,+1,6,,22,106,1,19,0.8,"2,262",317,,28.0,21.43
Gibraltar,129,,,,84,45,1,"3,829",,"1,558","46,244",,84.0,
Rwanda,126,+6,,,25,101,,10,,"1,966",152,,25.0,
El Salvador,125,+7,6,,21,98,3,19,0.9,,,,27.0,22.22
Cambodia,122,+2,,,77,45,1,7,,"5,768",345,,77.0,
Trinidad and Tobago,113,+1,8,,16,89,,81,6,"1,126",805,,24.0,33.33
Madagascar,106,+4,,,20,86,1,4,,,,,20.0,
Mali,105,+18,9,+2,22,74,,5,0.4,,,,31.0,29.03
Monaco,93,+1,1,,6,86,5,"2,370",25,,,,7.0,14.29
Aruba,92,,,,32,60,1,862,,"1,145","10,724",,32.0,
French Guiana,86,,,,51,35,1,288,,,,,51.0,
Liechtenstein,79,,1,,55,23,,"2,072",26,900,"23,605",,56.0,1.79
Togo,76,,3,,29,44,,9,0.4,"2,532",306,,32.0,9.38
Jamaica,72,+3,4,,16,52,,24,1,907,306,,20.0,20.0
Barbados,71,+3,4,,11,56,4,247,14,805,"2,801",,15.0,26.67
Ethiopia,71,+2,3,,10,58,,0.6,0.03,"3,863",34,,13.0,23.08
Congo,60,,5,,5,50,,11,0.9,,,,10.0,50.0
Bermuda,57,+9,4,,29,24,2,915,64,416,"6,680",,33.0,12.12
Uganda,54,+1,,,4,50,,1,,"5,025",110,,4.0,
Cayman Islands,53,,1,,6,46,3,806,15,536,"8,156",,7.0,14.29
French Polynesia,53,+2,,,,53,1,189,,889,"3,165",,0.0,
Sint Maarten,50,,9,,5,36,2,"1,166",210,134,"3,125",,14.0,64.29
Liberia,50,+2,5,,3,42,,10,1.0,,,,8.0,62.5
Gabon,49,+3,1,,1,47,,22,0.4,,,,2.0,50.0
Bahamas,46,,8,,5,33,1,117,20,,,,13.0,61.54
Guyana,45,,6,,8,31,3,57,8,193,245,,14.0,42.86
Macao,45,,,,10,35,1,69,,,,,10.0,
Zambia,43,+3,2,,30,11,1,2,0.1,"1,239",67,,32.0,6.25
Myanmar,41,+3,4,+1,2,35,,0.8,0.07,"1,406",26,,6.0,66.67
Guinea-Bissau,38,,,,,38,,19,,"1,500",762,,0.0,
Benin,35,,1,,5,29,,3,0.08,,,,6.0,16.67
Eritrea,34,,,,,34,,10,,,,,0.0,
Haiti,33,,3,+1,,30,,3,0.3,365,32,,3.0,100.0
Tanzania,32,,3,,5,24,,0.5,0.05,,,,8.0,37.5
Saint Martin,32,,2,,11,19,5,828,52,,,,13.0,15.38
Syria,25,,2,,5,18,,1,0.1,,,,7.0,28.57
Libya,25,,1,,9,15,,4,0.1,535,78,,10.0,10.0
Somalia,25,+4,1,,2,22,2,2,0.06,,,,3.0,33.33
Antigua and Barbuda,21,,2,,,19,1,214,20,40,408,,2.0,100.0
Equatorial Guinea,21,+3,,,3,18,,15,,854,609,,3.0,
Mozambique,21,+1,,,2,19,,0.7,,679,22,,2.0,
Maldives,20,+1,,,14,6,,37,,,,,14.0,
Angola,19,,2,,4,13,,0.6,0.06,,,,6.0,33.33
Sudan,19,,2,,2,15,,0.4,0.05,,,,4.0,50.0
Laos,19,+1,,,,19,,3,,"1,140",157,,0.0,
Chad,18,+7,,,2,16,,1,,,,,2.0,
New Caledonia,18,,,,1,17,,63,,"2,608","9,135",,1.0,
Dominica,16,,,,8,8,,222,,345,"4,793",,8.0,
Fiji,16,,,,,16,,18,,,,,0.0,
Mongolia,16,,,,4,12,,5,,,,,4.0,
Namibia,16,,,,3,13,,6,,362,142,,3.0,
Saint Lucia,15,,,,4,11,,82,,,,,4.0,
Zimbabwe,14,,3,,,11,,0.9,0.2,563,38,,3.0,100.0
Belize,14,+1,2,,,12,1,35,5,364,915,,2.0,100.0
Curaçao,14,,1,,8,5,,85,6,,,,9.0,11.11
Grenada,14,,,,,14,2,124,,92,818,,0.0,
Eswatini,14,+2,,,7,7,,12,,,,,7.0,
Malawi,13,+1,2,,,11,1,0.7,0.1,287,15,,2.0,100.0
Botswana,13,,1,,,12,,6,0.4,"3,115","1,325",,1.0,100.0
Nepal,12,+3,,,1,11,,0.4,,"4,426",152,,1.0,
Saint Kitts and Nevis,12,,,,,12,,226,,205,"3,853",,0.0,
St. Vincent Grenadines,12,,,,1,11,,108,,56,505,,1.0,
Greenland,11,,,,11,0,,194,,912,"16,065",,11.0,
Seychelles,11,,,,,11,,112,,,,,0.0,
Suriname,10,,1,,4,5,,17,2,,,,5.0,20.0
Sierra Leone,10,,,,,10,,1,,,,,0.0,
MS Zaandam,9,,2,,,7,,,,,,,2.0,100.0
Gambia,9,,1,,2,6,,4,0.4,281,116,,3.0,33.33
Nicaragua,9,,1,,4,4,,1,0.2,,,,5.0,20.0
Turks and Caicos,9,,1,,,8,,232,26,62,"1,601",,1.0,100.0
Montserrat,9,,,,,9,1,"1,803",,36,"7,212",,0.0,
Cabo Verde,8,,1,,1,6,,14,2,,,,2.0,50.0
CAR,8,,,,,8,,2,,,,,0.0,
Vatican City,8,,,,2,6,,"9,988",,,,,2.0,
Mauritania,7,,1,,2,4,,2,0.2,496,107,,3.0,33.33
St. Barth,6,,,,4,2,,607,,,,,4.0,
Western Sahara,6,,,,,6,,10,,,,,0.0,
Bhutan,5,,,,2,3,,6,,"1,166","1,511",,2.0,
Burundi,5,,,,,5,,0.4,,,,,0.0,
Falkland Islands,5,,,,1,4,,"1,437",,137,"39,368",,1.0,
Sao Tome and Principe,4,,,,,4,,18,,19,87,,0.0,
South Sudan,4,,,,,4,,0.4,,,,,0.0,
Anguilla,3,,,,,3,,200,,,,,0.0,
British Virgin Islands,3,,,,2,1,,99,,,,,2.0,
Caribbean Netherlands,3,+1,,,,3,,114,,10,381,,0.0,
Papua New Guinea,2,,,,,2,,0.2,,72,8,,0.0,
Timor-Leste,2,,,,1,1,,2,,,,,1.0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,,0.0,
Yemen,1,,,,,1,,0.03,,,,,0.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total:,"1,852,257","+72,514","114,194","+5,415","423,311","1,314,752","50,776",237.6,14.7,,,,537505.0,21.25
