"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",,Closed Case,"Death Rate
(%)"
DRC,416,+22,28,+3,49,339,,5,0.3,,,,77.0,36.36
Somalia,390,+62,18,+2,8,364,2,25,1,,,,26.0,69.23
Mayotte,380,+26,4,,144,232,4,"1,393",15,"2,200","8,064",,148.0,2.7
Mali,370,+45,21,,91,258,,18,1,"2,172",107,,112.0,18.75
Kenya,343,+7,14,,98,231,2,6,0.3,"17,492",325,,112.0,12.5
Palestine,342,+2,2,,92,248,,67,0.4,"27,000","5,293",,94.0,2.13
Mauritius,331,,9,,295,27,3,260,7,"13,374","10,516",,304.0,2.96
Venezuela,323,+5,10,,132,181,3,11,0.4,"423,592","14,896",,142.0,7.04
Montenegro,320,+1,6,,153,161,7,510,10,"5,085","8,096",,159.0,3.77
Isle of Man,308,,18,,243,47,22,"3,622",212,"2,796","32,881",,261.0,6.9
Tanzania,299,,10,,48,241,7,5,0.2,,,,58.0,17.24
Jamaica,288,+31,7,,28,253,,97,2,"2,518",850,,35.0,20.0
El Salvador,274,+13,8,,75,191,2,42,1,"17,423","2,686",,83.0,9.64
Vietnam,270,,,,225,45,8,3,,"206,253","2,119",,225.0,
Equatorial Guinea,258,+44,1,,7,250,,184,0.7,854,609,,8.0,12.5
Paraguay,223,+3,9,,78,136,1,31,1,"7,322","1,027",,87.0,10.34
Sudan,213,+39,17,+1,19,177,,5,0.4,,,,36.0,47.22
Congo,200,,6,,19,175,,36,1,,,,25.0,24.0
Faeroe Islands,187,,,,178,9,,"3,827",,"6,548","134,007",,178.0,
Rwanda,183,+7,,,88,95,,14,,"6,959",537,,88.0,
Maldives,177,+48,,,17,160,2,327,,"5,296","9,798",,17.0,
Gabon,176,+4,3,,30,143,1,79,1,572,257,,33.0,9.09
Martinique,175,+5,14,,77,84,7,466,37,,,,91.0,15.38
Guadeloupe,149,,12,,82,55,11,372,30,,,,94.0,12.77
Myanmar,144,,5,,10,129,,3,0.09,"6,256",115,,15.0,33.33
Brunei,138,,1,,121,16,2,315,2,"12,886","29,455",,122.0,0.82
Gibraltar,136,+3,,,131,5,,"4,037",,"2,174","64,528",,131.0,
Madagascar,123,+1,,,62,61,1,4,,"2,357",85,,62.0,
Ethiopia,122,+5,3,,29,90,,1,0.03,"12,688",110,,32.0,9.38
Cambodia,122,,,,117,5,1,7,,"5,768",345,,117.0,
Liberia,120,+3,11,+3,25,84,,24,2,,,,36.0,30.56
Trinidad and Tobago,115,,8,,53,54,,82,6,"1,510","1,079",,61.0,13.11
French Guiana,111,,1,,87,23,,372,3,,,,88.0,1.14
Bermuda,109,+10,5,,39,65,10,"1,750",80,"1,173","18,835",,44.0,11.36
Aruba,100,,2,,69,29,4,937,19,"1,577","14,771",,71.0,2.82
Togo,96,+6,6,,62,28,,12,0.7,"5,584",675,,68.0,8.82
Monaco,94,,4,,42,48,1,"2,395",102,,,,46.0,8.7
Cabo Verde,90,+2,1,,1,88,,162,2,791,"1,423",,2.0,50.0
Zambia,84,,3,,37,44,1,5,0.2,"2,586",141,,40.0,7.5
Sierra Leone,82,,2,,10,70,,10,0.3,,,,12.0,16.67
Liechtenstein,81,,1,,55,25,,"2,124",26,900,"23,605",,56.0,1.79
Barbados,79,+2,6,,31,42,4,275,21,"1,327","4,618",,37.0,16.22
Bahamas,78,+5,11,,15,52,1,198,28,,,,26.0,42.31
Uganda,75,,,,46,29,,2,,"20,329",444,,46.0,
Sint Maarten,73,,12,,22,39,8,"1,703",280,266,"6,204",,34.0,35.29
Guyana,73,,7,,12,54,5,93,9,375,477,,19.0,36.84
Haiti,72,,6,+1,6,60,,6,0.5,719,63,,12.0,50.0
Cayman Islands,70,,1,,8,61,3,"1,065",15,940,"14,303",,9.0,11.11
Mozambique,70,+5,,,12,58,,2,,"1,575",50,,12.0,
Libya,61,,2,,18,41,,9,0.3,"1,461",213,,20.0,10.0
French Polynesia,57,,,,41,16,1,203,,"2,069","7,365",,41.0,
Eswatini,56,+20,1,,10,45,,48,0.9,714,615,,11.0,9.09
Benin,54,,1,,27,26,,4,0.08,,,,28.0,3.57
Guinea-Bissau,52,,,,3,49,,26,,"1,500",762,,3.0,
Nepal,49,,,,12,37,,2,,"49,336","1,693",,12.0,
Chad,46,+6,,,15,31,,3,,,,,15.0,
Macao,45,,,,27,18,1,69,,,,,27.0,
Syria,42,,3,,11,28,,2,0.2,,,,14.0,21.43
Eritrea,39,,,,13,26,,11,,,,,13.0,
Saint Martin,38,,3,,24,11,3,983,78,,,,27.0,11.11
Mongolia,37,+1,,,9,28,,11,,"7,292","2,224",,9.0,
Malawi,33,,3,,4,26,1,2,0.2,617,32,,7.0,42.86
Zimbabwe,31,+2,4,,2,25,,2,0.3,"5,450",367,,6.0,66.67
Angola,25,,2,,6,17,,0.8,0.06,,,,8.0,25.0
Antigua and Barbuda,24,,3,,11,10,1,245,31,113,"1,154",,14.0,21.43
Timor-Leste,24,,,,2,22,,18,,322,244,,2.0,
Botswana,22,,1,,,21,,9,0.4,"5,023","2,136",,1.0,100.0
Laos,19,,,,7,12,,3,,"1,661",228,,7.0,
Belize,18,,2,,5,11,1,45,5,816,"2,052",,7.0,28.57
Fiji,18,,,,10,8,,20,,900,"1,004",,10.0,
Grenada,18,+3,,,7,11,4,160,,175,"1,555",,7.0,
New Caledonia,18,,,,17,1,1,63,,"3,952","13,842",,17.0,
Curaçao,16,,1,,11,4,,98,6,304,"1,853",,12.0,8.33
CAR,16,,,,10,6,,3,,,,,10.0,
Dominica,16,,,,10,6,,222,,383,"5,320",,10.0,
Namibia,16,,,,7,9,,6,,675,266,,7.0,
Saint Kitts and Nevis,15,,,,2,13,,282,,260,"4,887",,2.0,
Saint Lucia,15,,,,15,0,,82,,364,"1,982",,15.0,
St. Vincent Grenadines,14,,,,5,9,,126,,108,973,,5.0,
Falkland Islands,13,+1,,,11,2,,"3,736",,353,"101,437",,11.0,
Nicaragua,12,+1,3,,7,2,,2,0.5,,,,10.0,30.0
Burundi,11,,1,,4,6,,0.9,0.08,284,24,,5.0,20.0
Montserrat,11,,1,+1,2,8,1,"2,204",200,36,"7,212",,3.0,33.33
Turks and Caicos,11,,1,,4,6,,284,26,83,"2,144",,5.0,20.0
Greenland,11,,,,11,0,,194,,"1,200","21,138",,11.0,
Seychelles,11,,,,6,5,,112,,,,,6.0,
Gambia,10,,1,,8,1,,4,0.4,401,166,,9.0,11.11
Suriname,10,,1,,7,2,,17,2,404,689,,8.0,12.5
MS Zaandam,9,,2,,,7,,,,,,,2.0,100.0
Vatican City,9,,,,2,7,,"11,236",,,,,2.0,
Papua New Guinea,8,,,,,8,,0.9,,604,68,,0.0,
Mauritania,7,,1,,6,0,,2,0.2,"1,032",222,,7.0,14.29
Bhutan,7,,,,3,4,,9,,"8,953","11,603",,3.0,
British Virgin Islands,6,+1,1,,3,2,,198,33,,,,4.0,25.0
St. Barth,6,,,,6,0,,607,,,,,6.0,
Western Sahara,6,,,,5,1,,10,,,,,5.0,
Caribbean Netherlands,5,,,,,5,,191,,110,"4,195",,0.0,
South Sudan,5,,,,,5,,0.4,,,,,0.0,
Sao Tome and Principe,4,,,,,4,,18,,19,87,,0.0,
Anguilla,3,,,,1,2,,200,,,,,1.0,
Saint Pierre Miquelon,1,,,,,1,,173,,,,,0.0,
Yemen,1,,,,1,0,,0.03,,120,4,,1.0,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total:,"2,919,404","+90,722","203,164","+6,069","836,612","1,879,628","58,202",374.5,26.1,,,,1039776.0,19.54
