"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Closed Case,"Death Rate
(%)"
Philippines,"3,018",+385,136,+29,52,"2,830",1,28,1,"4,727",43,188,72.34
Japan,"2,935",+318,69,+6,514,"2,352",60,23,0.5,"32,497",257,583,11.84
Pakistan,"2,686",+265,40,+6,126,"2,520",10,12,0.2,"14,748",67,166,24.1
Luxembourg,"2,612",+125,31,+1,500,"2,081",33,"4,173",50,"21,463","34,287",531,5.84
Saudi Arabia,"2,039",+154,25,+4,351,"1,663",41,59,0.7,,,376,6.65
Indonesia,"1,986",+196,181,+11,134,"1,671",,7,0.7,"6,396",23,315,57.46
Thailand,"1,978",+103,19,+4,612,"1,347",23,28,0.3,"17,829",255,631,3.01
Panama,"1,673",+198,41,+4,10,"1,622",50,388,10,"6,582","1,525",51,80.39
Finland,"1,615",+97,20,+1,300,"1,295",72,291,4,"24,200","4,368",320,6.25
Greece,"1,613",+69,63,+10,78,"1,472",92,155,6,,,141,44.68
Peru,"1,595",+181,61,+6,537,997,51,48,2,"16,518",501,598,10.2
Mexico,"1,510",+132,50,+13,633,827,1,12,0.4,"8,552",66,683,7.32
South Africa,"1,505",+43,9,+4,95,"1,401",7,25,0.2,"50,361",849,104,8.65
Dominican Republic,"1,488",+108,68,+8,16,"1,404",147,137,6,,,84,80.95
Serbia,"1,476",+305,39,+8,54,"1,383",81,169,4,"5,756",659,93,41.94
Iceland,"1,364",+45,4,,309,"1,051",12,"3,997",12,"20,930","61,335",313,1.28
Argentina,"1,353",+88,42,+6,266,"1,045",,30,0.9,"6,277",139,308,13.64
Colombia,"1,267",+106,25,+6,55,"1,187",50,25,0.5,"21,129",415,80,31.25
UAE,"1,264",+240,9,+1,108,"1,147",2,128,0.9,"220,000","22,244",117,7.69
Algeria,"1,171",+185,105,+19,62,"1,004",,27,2,"3,359",77,167,62.87
Singapore,"1,114",+65,5,+1,282,827,24,190,0.9,"39,000","6,666",287,1.74
Croatia,"1,079",+68,8,+1,92,979,39,263,2,"6,404","1,560",100,8.0
Qatar,"1,075",+126,3,,93,979,37,373,1,"28,413","9,862",96,3.12
Ukraine,"1,072",+175,27,+5,22,"1,023",16,25,0.6,"3,178",73,49,55.1
Egypt,985,+120,66,+8,216,703,,10,0.6,,,282,23.4
Estonia,961,+103,12,+1,48,901,16,724,9,"18,290","13,788",60,20.0
Slovenia,934,+37,20,+3,70,844,31,449,10,"25,921","12,468",90,22.22
New Zealand,868,+71,1,,103,764,1,180,0.2,"23,481","4,869",104,0.96
Hong Kong,845,+43,4,,173,668,8,113,0.5,,,177,2.26
Iraq,820,+48,54,,226,540,,20,1,,,280,19.29
Morocco,791,+83,48,+4,57,686,1,21,1,"3,910",106,105,45.71
Armenia,736,+73,7,,43,686,30,248,2,"3,258","1,099",50,14.0
Diamond Princess,712,,11,,619,82,10,,,,,630,1.75
Lithuania,696,+47,9,,7,680,11,256,3,"18,432","6,771",16,56.25
Bahrain,672,+29,4,,382,286,3,395,2,"37,996","22,330",386,1.04
Hungary,623,+38,26,+5,43,554,17,64,3,"17,769","1,839",69,37.68
Moldova,591,+86,8,+2,26,557,65,147,2,169,42,34,23.53
Bosnia and Herzegovina,579,+46,17,+1,27,535,4,176,5,"2,220",677,44,38.64
Cameroon,509,+203,8,+1,17,484,,19,0.3,,,25,32.0
Lebanon,508,+14,17,+1,50,441,26,74,2,"7,828","1,147",67,25.37
Tunisia,495,+40,18,+4,5,472,26,42,2,"5,736",485,23,78.26
Latvia,493,+35,1,+1,1,491,3,261,0.5,"18,198","9,648",2,50.0
Bulgaria,485,+28,14,+4,30,441,21,70,2,566,81,44,31.82
Kazakhstan,464,+29,3,,29,432,6,25,0.2,316,17,32,9.38
Slovakia,450,+24,1,,10,439,3,82,0.2,"11,742","2,151",11,9.09
Azerbaijan,443,+43,5,,32,406,7,44,0.5,"35,000","3,452",37,13.51
Andorra,439,+11,16,+1,16,407,12,"5,682",207,,,32,50.0
North Macedonia,430,+46,12,+1,20,398,8,206,6,"4,506","2,163",32,37.5
Kuwait,417,+75,,,82,335,16,98,,,,82,
Costa Rica,416,+20,2,,11,403,13,82,0.4,"3,498",687,13,15.38
Cyprus,396,+40,11,+1,28,357,11,328,9,"9,447","7,825",39,28.21
Uruguay,386,+36,4,,86,296,13,111,1,"4,786","1,378",90,4.44
Belarus,351,+47,4,,53,294,11,37,0.4,"32,000","3,386",57,7.02
Taiwan,348,+9,5,,50,293,,15,0.2,"30,777","1,292",55,9.09
Réunion,321,+13,,,40,281,3,359,,,,40,
Jordan,310,+11,5,,58,247,5,30,0.5,239,23,63,7.94
Albania,304,+27,17,+1,89,198,7,106,6,"2,031",706,106,16.04
Burkina Faso,302,+14,16,,50,236,,14,0.8,,,66,24.24
Afghanistan,281,+8,6,,10,265,,7,0.2,,,16,37.5
Cuba,269,+36,6,,15,248,8,24,0.5,"3,342",295,21,28.57
Oman,252,+21,1,,57,194,3,49,0.2,,,58,1.72
San Marino,251,+6,32,+2,26,193,13,"7,397",943,586,"17,270",58,55.17
Vietnam,239,+6,,,85,154,3,2,,"35,808",368,85,
Channel Islands,232,+39,4,+1,13,215,,"1,334",23,,,17,23.53
Uzbekistan,227,+22,2,,25,200,8,7,0.06,,,27,7.41
Honduras,222,+3,15,+1,3,204,10,22,2,,,18,83.33
Ivory Coast,218,+24,1,,19,198,,8,0.04,,,20,5.0
Nigeria,210,+26,4,+2,25,181,,1,0.02,,,29,13.79
Senegal,207,+12,1,,66,140,1,12,0.06,195,12,67,1.49
Ghana,205,+1,5,,31,169,2,7,0.2,,,36,13.89
Malta,202,+6,,,2,200,2,457,,"9,043","20,480",2,
Palestine,194,+33,1,,21,172,,38,0.2,"7,553","1,481",22,4.55
Mauritius,186,+17,7,,,179,1,146,6,,,7,100.0
Faeroe Islands,179,+2,,,91,88,1,"3,663",,"4,653","95,225",91,
Montenegro,174,+30,2,,1,171,4,277,3,"1,006","1,602",3,66.67
Sri Lanka,159,+8,4,,24,131,5,7,0.2,,,28,14.29
Georgia,155,+21,,,28,127,6,39,,,,28,
Venezuela,153,+7,7,+2,52,94,6,5,0.2,,,59,11.86
DRC,148,+14,16,+3,3,129,,2,0.2,,,19,84.21
Martinique,143,+5,3,,27,113,18,381,8,,,30,10.0
Brunei,134,+1,1,,65,68,3,306,2,"7,566","17,295",66,1.52
Bolivia,132,+9,9,+1,1,122,3,11,0.8,191,16,10,90.0
Guadeloupe,130,+2,7,+1,24,99,14,325,17,,,31,22.58
Kyrgyzstan,130,+14,1,+1,6,123,5,20,0.2,"9,618","1,474",7,14.29
Mayotte,128,+12,2,+1,10,116,3,469,7,479,"1,756",12,16.67
Kenya,122,+12,4,+1,4,114,2,2,0.07,"2,201",41,8,50.0
Niger,120,+22,5,,,115,,5,0.2,"3,729",154,5,100.0
Isle of Man,114,+19,1,,,113,,"1,341",12,"1,230","14,465",1,100.0
Cambodia,114,+4,,,35,79,1,7,,"5,768",345,35,
Trinidad and Tobago,98,+4,6,+1,1,91,,70,4,705,504,7,85.71
Gibraltar,95,+7,,,46,49,,"2,820",,"1,136","33,718",46,
Paraguay,92,+15,3,,6,83,2,13,0.4,116,16,9,33.33
Rwanda,89,+5,,,,89,,7,,,,0,
Liechtenstein,75,,,,,75,,"1,967",,900,"23,605",0,
Guinea,73,+21,,,2,71,,6,,,,2,
Madagascar,70,+11,,,,70,6,3,,,,0,
Monaco,64,+4,1,,3,60,2,"1,631",25,,,4,25.0
Aruba,62,+2,,,1,61,,581,,836,"7,830",1,
Bangladesh,61,+5,6,,26,29,1,0.4,0.04,"2,086",13,32,18.75
French Guiana,57,+6,,,22,35,1,191,,,,22,
Jamaica,53,+6,3,,7,43,,18,1,292,99,10,30.0
Barbados,51,+5,,,,51,,177,,,,0,
Guatemala,50,+3,1,,12,37,1,3,0.06,,,13,7.69
Djibouti,49,+9,,,8,41,,50,,,,8,
Uganda,48,+3,,,,48,,1,,,,0,
El Salvador,46,+5,3,+1,,43,4,7,0.5,,,3,100.0
Macao,42,+1,,,10,32,,65,,,,10,
Togo,40,+1,3,+1,17,20,,5,0.4,,,20,15.0
Mali,39,+3,3,,,36,,2,0.1,,,3,100.0
Zambia,39,,1,,2,36,,2,0.05,619,34,3,33.33
French Polynesia,39,+2,,,,39,1,139,,554,"1,972",0,
Bermuda,35,,,,14,21,,562,,272,"4,368",14,
Ethiopia,35,+6,,,3,32,2,0.3,,"1,222",11,3,
Cayman Islands,29,+1,1,,1,27,,441,15,265,"4,032",2,50.0
Bahamas,24,,3,+2,,21,1,61,8,,,3,100.0
Guyana,23,+4,4,,,19,,29,5,83,106,4,100.0
Sint Maarten,23,+5,4,+3,6,13,,536,93,82,"1,912",10,40.0
Congo,22,,2,,2,18,,4,0.4,,,4,50.0
Saint Martin,22,,1,,2,19,,569,26,18,466,3,33.33
Eritrea,22,,,,,22,,6,,,,0,
Gabon,21,,1,,1,19,,9,0.4,,,2,50.0
Myanmar,20,,1,,,19,,0.4,0.02,,,1,100.0
Tanzania,20,,1,,3,16,,0.3,0.02,,,4,25.0
Maldives,19,,,,13,6,,35,,,,13,
Haiti,18,+2,,,1,17,,2,,200,18,1,
New Caledonia,18,,,,1,17,,63,,"1,390","4,869",1,
Libya,17,+6,1,,,16,,2,0.1,131,19,1,100.0
Syria,16,,2,,,14,,0.9,0.1,,,2,100.0
Benin,16,+3,,,2,14,,1,,,,2,
Equatorial Guinea,16,+1,,,1,15,,11,,,,1,
Antigua and Barbuda,15,+6,,,,15,1,153,,9,92,0,
Guinea-Bissau,15,+6,,,,15,,8,,,,0,
Dominica,14,+2,,,,14,,194,,,,0,
Mongolia,14,,,,2,12,,4,,,,2,
Namibia,14,,,,3,11,,6,,301,118,3,
Saint Lucia,13,,,,1,12,,71,,,,1,
Grenada,12,+2,,,,12,2,107,,45,400,0,
Curaçao,11,,1,,3,7,,67,6,,,4,25.0
Sudan,10,+2,2,,2,6,,0.2,0.05,,,4,50.0
Suriname,10,,1,+1,,9,,17,2,,,1,100.0
Greenland,10,,,,3,7,,176,,542,"9,547",3,
Laos,10,,,,,10,,1,,437,60,0,
Mozambique,10,,,,,10,,0.3,,,,0,
Seychelles,10,,,,,10,,102,,,,0,
MS Zaandam,9,,2,,,7,,,,,,2,100.0
Zimbabwe,9,,1,,,8,,0.6,0.07,316,21,1,100.0
Saint Kitts and Nevis,9,,,,,9,,169,,113,"2,124",0,
Eswatini,9,,,,,9,,8,,,,0,
Angola,8,,2,,1,5,,0.2,0.06,,,3,66.67
CAR,8,+5,,,,8,,2,,,,0,
Chad,8,,,,,8,,0.5,,,,0,
Fiji,7,,,,,7,,8,,,,0,
Vatican City,7,,,,,7,,"8,739",,,,0,
Liberia,7,+1,,,,7,,1,,,,0,
St. Vincent Grenadines,7,+5,,,1,6,,63,,,,1,
Somalia,7,+2,,,1,6,,0.4,,,,1,
Cabo Verde,6,,1,,,5,,11,2,,,1,100.0
Mauritania,6,,1,,2,3,,1,0.2,,,3,33.33
Nepal,6,,,,1,5,,0.2,,"1,184",41,1,
Montserrat,6,+1,,,,6,,"1,202",,,,0,
St. Barth,6,,,,1,5,,607,,,,1,
Nicaragua,5,,1,,,4,,0.8,0.2,,,1,100.0
Bhutan,5,,,,2,3,,6,,,,2,
Turks and Caicos,5,,,,,5,,129,,,,0,
Botswana,4,,1,,,3,,2,0.4,175,74,1,100.0
Gambia,4,,1,,2,1,,2,0.4,,,3,33.33
Belize,4,+1,,,,4,,10,,25,63,0,
Anguilla,3,,,,,3,,200,,,,0,
British Virgin Islands,3,,,,,3,,99,,,,0,
Burundi,3,,,,,3,,0.3,,2,0.2,0,
Malawi,3,,,,,3,,0.2,,,,0,
Caribbean Netherlands,2,,,,,2,,76,,10,381,0,
Sierra Leone,2,,,,,2,,0.3,,2,0.3,0,
Falkland Islands,1,+1,,,,1,,287,,,,0,
Papua New Guinea,1,,,,,1,,0.1,,,,0,
Timor-Leste,1,,,,,1,,0.8,,,,0,
Total:,"1,116,643","+101,578","59,170","+5,997","228,405","829,068","39,439",143.3,7.6,,,287575,20.58
